Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Schrofenstrasse 18, 8580 Amriswil, Switzerland",Schrofenstrasse 18,8580,Amriswil,Thurgau,Switzerland,47.5478658,9.2758073,4.2,438,ALDI SUISSE,ChIJbRUg51L7mkcRFQytB0ihsSw,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Tägerwilerstrasse 2, + 4, 8280 Kreuzlingen, Switzerland",Tägerwilerstrasse 2,8280,Kreuzlingen,Zürich,Switzerland,47.65545379999999,9.1638434,4.3,547,ALDI SUISSE,ChIJyzr7aef2mkcRK26fL8HgqeE,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Wilerstrasse 98, 8370 Sirnach, Switzerland",Wilerstrasse 98,8370,Sirnach,Zürich,Switzerland,47.46255199999999,9.020765599999999,4.2,633,ALDI SUISSE,ChIJa3h7m6TrmkcRm7qVKfpOEsw,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Weststrasse 22, 8570 Weinfelden, Switzerland",Weststrasse 22,8570,Weinfelden,Thurgau,Switzerland,47.5684607,9.0956979,4.2,480,ALDI SUISSE,ChIJexDCX_jxmkcRaZUCRwUzh7Q,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Zürcherstrasse 381, 8500 Frauenfeld, Switzerland",Zürcherstrasse 381,8500,Frauenfeld,Thurgau,Switzerland,47.570623,8.9214721,4.2,523,ALDI SUISSE,ChIJFajXTAuSmkcRp0NYAxRAE7M,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Sittertalstrasse 16, 8589 Bischofszell, Switzerland",Sittertalstrasse 16,8589,Bischofszell,Thurgau,Switzerland,47.4993501,9.2409951,4.2,471,ALDI,ChIJtaB6NEPkmkcRS1-EzHCauqw,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Lengwilerstrasse 2, 8280 Kreuzlingen, Switzerland",Lengwilerstrasse 2,8280,Kreuzlingen,Zürich,Switzerland,47.6389228,9.2043049,4.3,374,ALDI SUISSE,ChIJL7_0zFH3mkcR4YB7ohLgou0,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Wespenstrasse 16, 8500 Frauenfeld, Switzerland",Wespenstrasse 16,8500,Frauenfeld,Thurgau,Switzerland,47.5636579,8.8797648,4.2,489,ALDI SUISSE,ChIJq7ere-6RmkcR8E_vD4lqztQ,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Wittenwilerstrasse 45, 8355 Aadorf, Switzerland",Wittenwilerstrasse 45,8355,Aadorf,Zürich,Switzerland,47.498657,8.9056916,4.3,529,ALDI SUISSE,ChIJacnLNoqTmkcRQuihoBwBAFE,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Herbergstrasse 26, 9524 Zuzwil, Switzerland",Herbergstrasse 26,9524,Zuzwil,St. Gallen,Switzerland,47.47009130000001,9.110127300000002,4.5,111,ALDI SUISSE,ChIJxbFnzv3pmkcRfwQ-G1pCvLk,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,2000,1700
"Rütistrasse 1, 9320 Arbon, Switzerland",Rütistrasse 1,9320,Arbon,Zürich,Switzerland,47.52099399999999,9.4179636,4.1,680,ALDI SUISSE,ChIJuzLrECQdm0cRwKd0sZc5ia4,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Breitestrasse 5, 9532 Rickenbach, Switzerland",Breitestrasse 5,9532,Rickenbach,Thurgau,Switzerland,47.4460506,9.052532300000001,4.4,381,ALDI SUISSE,ChIJX8KD8BbrmkcRfeFbQC3Tn-8,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Grossacker 2, 9244 Niederuzwil, Switzerland",Grossacker 2,9244,Niederuzwil,Zürich,Switzerland,47.4445762,9.1474513,4.3,525,ALDI SUISSE,ChIJ0WY9jYPomkcR22pIl6LY8Vo,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,2000,1700
"Sonnenstrasse 9, 8590 Romanshorn, Switzerland",Sonnenstrasse 9,8590,Romanshorn,Thurgau,Switzerland,47.5707311,9.365108200000002,4.3,418,ALDI SUISSE,ChIJdzb7Dw39mkcRdNO3-67oc0Y,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"St. Gallerstrasse 43, 9400 Rorschach, Switzerland",St. Gallerstrasse 43,9400,Rorschach,Zürich,Switzerland,47.47809830000001,9.482156,4.4,291,ALDI SUISSE,ChIJz1fVslsbm0cRjJUx0qtmRIw,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,2000,1700
"Wilerstrasse 50, 9602 Bazenheid, Switzerland",Wilerstrasse 50,9602,Bazenheid,St. Gallen,Switzerland,47.4165924,9.0654694,4.3,385,ALDI SUISSE,ChIJWZ5x6ejpmkcR3ynz-yRYNj8,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,1900,1700
"Niederstettenstrasse 23, 9536 Jonschwil, Switzerland",Niederstettenstrasse 23,9536,Jonschwil,St. Gallen,Switzerland,47.448482,9.06937,3.9,264,ALDI Schwarzenbach,ChIJj7GGq8LrmkcRpba3-AG1vJU,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1900,1900,1700
"Guggenbühlstrasse 6, 8404 Winterthur, Switzerland",Guggenbühlstrasse 6,8404,Winterthur,Zürich,Switzerland,47.5109491,8.759488,4.1,71,ALDI SUISSE,ChIJe91O40SbmkcRYtiwjF2JDHg,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Tösstalstrasse 11, 8488 Turbenthal, Switzerland",Tösstalstrasse 11,8488,Turbenthal,Zürich,Switzerland,47.4416895,8.8339348,4.2,536,ALDI SUISSE,ChIJ_ckoFBWWmkcRjquChExmE7o,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Gennersbrunnerstraße 63, 8207 Schaffhausen, Switzerland",Gennersbrunnerstraße 63,8207,Schaffhausen,Schaffhausen,Switzerland,47.7162829,8.664720299999999,4.2,462,ALDI SUISSE,ChIJScYvgjOAmkcRpd7uZvw8lhU,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,1800
"Ital. Str. 2A, 7430 Thusis, Switzerland",Ital. Str. 2A,7430,Thusis,Graubünden,Switzerland,46.7105701,9.4372892,4.3,440,ALDI SUISSE,ChIJ3Uf2m03qhEcRySjO8iXJox0,,0730,0730,0730,0730,0730,0800,,2000,2000,2000,2000,2000,1700
"Kasernenstrasse 53, 7000 Chur, Switzerland",Kasernenstrasse 53,7000,Chur,Graubünden,Switzerland,46.8467243,9.5218752,4.2,530,ALDI SUISSE,ChIJrQWxXm3HhEcR19aEHEs5fLI,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,1800
"Grüneck 2, 7130 Ilanz, Switzerland",Grüneck 2,7130,Ilanz,Graubünden,Switzerland,46.7753093,9.1911968,4.2,323,ALDI,ChIJfdrbuC_ehEcRAYFl2e3dEfI,,0730,0730,0730,0730,0730,0730,,1930,1930,1930,1930,1930,1700
"Schulstrasse 82, 7302 Landquart, Switzerland",Schulstrasse 82,7302,Landquart,Graubünden,Switzerland,46.95596309999999,9.563898199999999,4.2,517,ALDI SUISSE,ChIJDanqSunJhEcRiqBNcx2wkbg,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Rheinfelsstrasse 4, 7000 Chur, Switzerland",Rheinfelsstrasse 4,7000,Chur,Graubünden,Switzerland,46.8519406,9.512665799999997,4.2,490,ALDI SUISSE,ChIJX3RYUVWhhEcRM-hm_XqZxAY,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,1800
"Cho d'Punt 43, 7503 Samedan, Switzerland",Cho d'Punt 43,7503,Samedan,Graubünden,Switzerland,46.5291829,9.874726599999997,4.2,632,ALDI SUISSE,ChIJRVTm_R19g0cR69MZhar8yuQ,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Bahnhofstrasse 4A, 7270 Davos, Switzerland",Bahnhofstrasse 4A,7270,Davos,Graubünden,Switzerland,46.7921445,9.819453199999998,4.2,407,ALDI SUISSE,ChIJX3RYUVWhhEcRNu99gQzrrVI,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Bahnweg S 1, 9475 Sevelen, Switzerland",Bahnweg S 1,9475,Sevelen,Zürich,Switzerland,47.124572,9.497059499999999,4.2,447,ALDI SUISSE,ChIJcRqyH9Izm0cRyYM6CL2WYVM,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,2000,1700
"Via S. Bernardino 18, 6532 Arbedo-Castione, Switzerland",Via S. Bernardino 18,6532,Arbedo-Castione,Ticino,Switzerland,46.2228505,9.0512907,4.2,518,ALDI,ChIJRdoFk-JLhEcRZnOxNaK6RUI,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2100,1900,1830
"Lochrietstrasse 18, 8890 Flums, Switzerland",Lochrietstrasse 18,8890,Flums,Zürich,Switzerland,47.0976989,9.352774400000001,4.2,370,ALDI,ChIJtXyO4I0sm0cRW85M7p2BTzc,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Churerstrasse 12, 9470 Buchs, Switzerland",Churerstrasse 12,9470,Buchs,Zürich,Switzerland,47.1635996,9.473360000000001,4.5,295,ALDI SUISSE,ChIJA0H25oYxm0cRJg-eA2JSODA,,0730,0730,0730,0730,0730,0730,,1900,1900,2000,1900,2000,1700
"Via Bellinzona 46, 6710 Biasca, Switzerland",Via Bellinzona 46,6710,Biasca,Ticino,Switzerland,46.3493611,8.974291599999999,4.2,419,ALDI,ChIJLTW8WCKthUcR5uzEedDYrQ8,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2100,1900,1830
"Via Monte Ceneri 24, 6512 Giubiasco, Switzerland",Via Monte Ceneri 24,6512,Giubiasco,Ticino,Switzerland,46.1676,9.0003,4.1,673,ALDI,ChIJ8_EJR3JKhEcRcHAg5Utvnnw,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2100,1900,1830
"Via Monte Ceneri 6, 6572 Quartino, Switzerland",Via Monte Ceneri 6,6572,Quartino,Ticino,Switzerland,46.1529224,8.9138679,4.3,791,ALDI SUISSE,ChIJcWpOpn7KhUcRZdXng2t-aak,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2100,1900,1830
"Schweizerhofstrasse 14, 8750 Glarus, Switzerland",Schweizerhofstrasse 14,8750,Glarus,Zürich,Switzerland,47.041402,9.070478,4.5,115,ALDI SUISSE,ChIJD5CmTrYthUcRv2294I-foHE,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Via Cantonale 4, 6805 Mezzovico-Vira, Switzerland",Via Cantonale 4,6805,Mezzovico-Vira,Ticino,Switzerland,46.0898082,8.921504400000003,4.1,523,ALDI SUISSE,ChIJ_RHM4ag0hEcRp3M2ossoAos,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2100,1900,1830
