Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close,Brand,Unnamed: 0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Mapped Canton
"Schrofenstrasse 18, 8580 Amriswil, Switzerland",Schrofenstrasse 18,8580,Amriswil,Thurgau,Switzerland,47.5478658,9.2758073,4.2,438.0,ALDI SUISSE,ChIJbRUg51L7mkcRFQytB0ihsSw,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Tägerwilerstrasse 2, + 4, 8280 Kreuzlingen, Switzerland",Tägerwilerstrasse 2,8280,Kreuzlingen,Zürich,Switzerland,47.65545379999999,9.1638434,4.3,547.0,ALDI SUISSE,ChIJyzr7aef2mkcRK26fL8HgqeE,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Wilerstrasse 98, 8370 Sirnach, Switzerland",Wilerstrasse 98,8370,Sirnach,Zürich,Switzerland,47.46255199999999,9.0207656,4.2,633.0,ALDI SUISSE,ChIJa3h7m6TrmkcRm7qVKfpOEsw,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Weststrasse 22, 8570 Weinfelden, Switzerland",Weststrasse 22,8570,Weinfelden,Thurgau,Switzerland,47.5684607,9.0956979,4.2,480.0,ALDI SUISSE,ChIJexDCX_jxmkcRaZUCRwUzh7Q,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Zürcherstrasse 381, 8500 Frauenfeld, Switzerland",Zürcherstrasse 381,8500,Frauenfeld,Thurgau,Switzerland,47.570623,8.9214721,4.2,523.0,ALDI SUISSE,ChIJFajXTAuSmkcRp0NYAxRAE7M,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Sittertalstrasse 16, 8589 Bischofszell, Switzerland",Sittertalstrasse 16,8589,Bischofszell,Thurgau,Switzerland,47.4993501,9.2409951,4.2,471.0,ALDI,ChIJtaB6NEPkmkcRS1-EzHCauqw,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Lengwilerstrasse 2, 8280 Kreuzlingen, Switzerland",Lengwilerstrasse 2,8280,Kreuzlingen,Zürich,Switzerland,47.6389228,9.2043049,4.3,374.0,ALDI SUISSE,ChIJL7_0zFH3mkcR4YB7ohLgou0,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Wespenstrasse 16, 8500 Frauenfeld, Switzerland",Wespenstrasse 16,8500,Frauenfeld,Thurgau,Switzerland,47.5636579,8.8797648,4.2,489.0,ALDI SUISSE,ChIJq7ere-6RmkcR8E_vD4lqztQ,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Wittenwilerstrasse 45, 8355 Aadorf, Switzerland",Wittenwilerstrasse 45,8355,Aadorf,Zürich,Switzerland,47.498657,8.9056916,4.3,529.0,ALDI SUISSE,ChIJacnLNoqTmkcRQuihoBwBAFE,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Herbergstrasse 26, 9524 Zuzwil, Switzerland",Herbergstrasse 26,9524,Zuzwil,St. Gallen,Switzerland,47.47009130000001,9.110127300000002,4.5,111.0,ALDI SUISSE,ChIJxbFnzv3pmkcRfwQ-G1pCvLk,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,1900.0,1900.0,2000.0,1700.0,ALDI,,,,,,,,,
"Rütistrasse 1, 9320 Arbon, Switzerland",Rütistrasse 1,9320,Arbon,Zürich,Switzerland,47.52099399999999,9.4179636,4.1,680.0,ALDI SUISSE,ChIJuzLrECQdm0cRwKd0sZc5ia4,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Breitestrasse 5, 9532 Rickenbach, Switzerland",Breitestrasse 5,9532,Rickenbach,Thurgau,Switzerland,47.4460506,9.0525323,4.4,381.0,ALDI SUISSE,ChIJX8KD8BbrmkcRfeFbQC3Tn-8,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Grossacker 2, 9244 Niederuzwil, Switzerland",Grossacker 2,9244,Niederuzwil,Zürich,Switzerland,47.4445762,9.1474513,4.3,525.0,ALDI SUISSE,ChIJ0WY9jYPomkcR22pIl6LY8Vo,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,1900.0,1900.0,2000.0,1700.0,ALDI,,,,,,,,,
"Sonnenstrasse 9, 8590 Romanshorn, Switzerland",Sonnenstrasse 9,8590,Romanshorn,Thurgau,Switzerland,47.5707311,9.365108200000002,4.3,418.0,ALDI SUISSE,ChIJdzb7Dw39mkcRdNO3-67oc0Y,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"St. Gallerstrasse 43, 9400 Rorschach, Switzerland",St. Gallerstrasse 43,9400,Rorschach,Zürich,Switzerland,47.47809830000001,9.482156,4.4,291.0,ALDI SUISSE,ChIJz1fVslsbm0cRjJUx0qtmRIw,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,1900.0,1900.0,2000.0,1700.0,ALDI,,,,,,,,,
"Wilerstrasse 50, 9602 Bazenheid, Switzerland",Wilerstrasse 50,9602,Bazenheid,St. Gallen,Switzerland,47.4165924,9.0654694,4.3,385.0,ALDI SUISSE,ChIJWZ5x6ejpmkcR3ynz-yRYNj8,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,1900.0,1900.0,1900.0,1700.0,ALDI,,,,,,,,,
"Niederstettenstrasse 23, 9536 Jonschwil, Switzerland",Niederstettenstrasse 23,9536,Jonschwil,St. Gallen,Switzerland,47.448482,9.06937,3.9,264.0,ALDI Schwarzenbach,ChIJj7GGq8LrmkcRpba3-AG1vJU,,800.0,800.0,800.0,800.0,800.0,800.0,,1900.0,1900.0,1900.0,1900.0,1900.0,1700.0,ALDI,,,,,,,,,
"Guggenbühlstrasse 6, 8404 Winterthur, Switzerland",Guggenbühlstrasse 6,8404,Winterthur,Zürich,Switzerland,47.5109491,8.759488,4.1,71.0,ALDI SUISSE,ChIJe91O40SbmkcRYtiwjF2JDHg,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Tösstalstrasse 11, 8488 Turbenthal, Switzerland",Tösstalstrasse 11,8488,Turbenthal,Zürich,Switzerland,47.4416895,8.8339348,4.2,536.0,ALDI SUISSE,ChIJ_ckoFBWWmkcRjquChExmE7o,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Gennersbrunnerstraße 63, 8207 Schaffhausen, Switzerland",Gennersbrunnerstraße 63,8207,Schaffhausen,Schaffhausen,Switzerland,47.7162829,8.664720299999999,4.2,462.0,ALDI SUISSE,ChIJScYvgjOAmkcRpd7uZvw8lhU,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,1800.0,ALDI,,,,,,,,,
"Ital. Str. 2A, 7430 Thusis, Switzerland",Ital. Str. 2A,7430,Thusis,Graubünden,Switzerland,46.7105701,9.4372892,4.3,440.0,ALDI SUISSE,ChIJ3Uf2m03qhEcRySjO8iXJox0,,730.0,730.0,730.0,730.0,730.0,800.0,,2000.0,2000.0,2000.0,2000.0,2000.0,1700.0,ALDI,,,,,,,,,
"Kasernenstrasse 53, 7000 Chur, Switzerland",Kasernenstrasse 53,7000,Chur,Graubünden,Switzerland,46.8467243,9.5218752,4.2,530.0,ALDI SUISSE,ChIJrQWxXm3HhEcR19aEHEs5fLI,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,1800.0,ALDI,,,,,,,,,
"Grüneck 2, 7130 Ilanz, Switzerland",Grüneck 2,7130,Ilanz,Graubünden,Switzerland,46.7753093,9.1911968,4.2,323.0,ALDI,ChIJfdrbuC_ehEcRAYFl2e3dEfI,,730.0,730.0,730.0,730.0,730.0,730.0,,1930.0,1930.0,1930.0,1930.0,1930.0,1700.0,ALDI,,,,,,,,,
"Schulstrasse 82, 7302 Landquart, Switzerland",Schulstrasse 82,7302,Landquart,Graubünden,Switzerland,46.95596309999999,9.5638982,4.2,517.0,ALDI SUISSE,ChIJDanqSunJhEcRiqBNcx2wkbg,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Rheinfelsstrasse 4, 7000 Chur, Switzerland",Rheinfelsstrasse 4,7000,Chur,Graubünden,Switzerland,46.8519406,9.512665799999995,4.2,490.0,ALDI SUISSE,ChIJX3RYUVWhhEcRM-hm_XqZxAY,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,1800.0,ALDI,,,,,,,,,
"Cho d'Punt 43, 7503 Samedan, Switzerland",Cho d'Punt 43,7503,Samedan,Graubünden,Switzerland,46.5291829,9.874726599999995,4.2,632.0,ALDI SUISSE,ChIJRVTm_R19g0cR69MZhar8yuQ,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Bahnhofstrasse 4A, 7270 Davos, Switzerland",Bahnhofstrasse 4A,7270,Davos,Graubünden,Switzerland,46.7921445,9.819453199999998,4.2,407.0,ALDI SUISSE,ChIJX3RYUVWhhEcRNu99gQzrrVI,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Bahnweg S 1, 9475 Sevelen, Switzerland",Bahnweg S 1,9475,Sevelen,Zürich,Switzerland,47.124572,9.4970595,4.2,447.0,ALDI SUISSE,ChIJcRqyH9Izm0cRyYM6CL2WYVM,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,1900.0,1900.0,2000.0,1700.0,ALDI,,,,,,,,,
"Via S. Bernardino 18, 6532 Arbedo-Castione, Switzerland",Via S. Bernardino 18,6532,Arbedo-Castione,Ticino,Switzerland,46.2228505,9.0512907,4.2,518.0,ALDI,ChIJRdoFk-JLhEcRZnOxNaK6RUI,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,1900.0,2100.0,1900.0,1830.0,ALDI,,,,,,,,,
"Lochrietstrasse 18, 8890 Flums, Switzerland",Lochrietstrasse 18,8890,Flums,Zürich,Switzerland,47.0976989,9.3527744,4.2,370.0,ALDI,ChIJtXyO4I0sm0cRW85M7p2BTzc,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,ALDI,,,,,,,,,
"Churerstrasse 12, 9470 Buchs, Switzerland",Churerstrasse 12,9470,Buchs,Zürich,Switzerland,47.1635996,9.47336,4.5,295.0,ALDI SUISSE,ChIJA0H25oYxm0cRJg-eA2JSODA,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,2000.0,1900.0,2000.0,1700.0,ALDI,,,,,,,,,
