Unnamed: 0,Address,Street Name,Zip Code,City,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Canton
0,"Bahnhofstrasse 6, 8274 Tägerwilen, Switzerland",Bahnhofstrasse 6,8274,Tägerwilen,Switzerland,47.6565808,9.1330298,4.4,157,Coop Supermarkt Tägerwilen,ChIJVb1KmKL2mkcRN3oXKZB6yvg,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1800.0,,,Thurgau
1,"Fichtenstrasse 18, 8570 Weinfelden, Switzerland",Fichtenstrasse 18,8570,Weinfelden,Switzerland,47.5667616,9.0968241,4.4,931,Coop Supermarkt Weinfelden Thurmarkt,ChIJVQmyMvnxmkcRWbDnUWa1mg8,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,,,Thurgau
2,"Schaffhauserstrasse 17, 8500 Frauenfeld, Switzerland",Schaffhauserstrasse 17,8500,Frauenfeld,Switzerland,47.5611899,8.887193899999998,4.2,231,Coop Supermarkt Frauenfeld Fallengatter,ChIJB3AXjfORmkcRPtHDq_ZuFRY,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,1800.0,,,Thurgau
3,"Thundorferstrasse 1, 9548 Matzingen, Switzerland",Thundorferstrasse 1,9548,Matzingen,Switzerland,47.520299,8.9350578,4.2,134,Coop Supermarkt Matzingen,ChIJs3KUagmTmkcR4aTTPwfGX4I,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Thurgau
4,"Bahnhofstrasse 13, 8583 Sulgen, Switzerland",Bahnhofstrasse 13,8583,Sulgen,Switzerland,47.54082440000001,9.183431900000002,4.2,110,Coop Supermarkt Sulgen,ChIJk7mAJvbvmkcR85R9yIt_8g0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Thurgau
5,"Zürcherstrasse 138, 8500 Frauenfeld, Switzerland",Zürcherstrasse 138,8500,Frauenfeld,Switzerland,47.5542174,8.8962605,4.3,736,Coop Supermarkt Frauenfeld Schlosspark,ChIJTx_PByGSmkcR6dpf8FAwm2s,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1800.0,,,Thurgau
6,"Dorfstrasse 11, 9545 Wängi, Switzerland",Dorfstrasse 11,9545,Wängi,Switzerland,47.4977789,8.953597700000001,4.3,116,Coop Supermarkt Wängi,ChIJpfAHqV6TmkcRUv4VvqFa33w,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Thurgau
7,"Leubernstrasse 3, 8280 Kreuzlingen, Switzerland",Leubernstrasse 3,8280,Kreuzlingen,Switzerland,47.6384646,9.2021129,4.1,384,Coop Supermarkt Kreuzlingen Ziilcenter,ChIJ2xT0LU73mkcR9aD8VD-XhHo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,2000.0,800.0,1800.0,,,Thurgau
8,"Wiesentalstrasse 23, 8355 Aadorf, Switzerland",Wiesentalstrasse 23,8355,Aadorf,Switzerland,47.4928318,8.8997998,4.4,366,Coop Supermarkt Aadorf,ChIJQU4ya1WTmkcRQlqLet00lgs,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1800.0,,,Thurgau
9,"Seestrasse 149, 8266 Steckborn, Switzerland",Seestrasse 149,8266,Steckborn,Switzerland,47.664038,8.9791502,4.3,280,Coop Supermarkt Steckborn,ChIJ7zEdhHaLmkcR5_-6f-U6Igc,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1800.0,,,Thurgau
10,"Unterdorfstrasse 5, 8370 Sirnach, Switzerland",Unterdorfstrasse 5,8370,Sirnach,Switzerland,47.4629145,8.9963696,3.9,167,Coop Supermarkt Sirnach,ChIJfdILsRHrmkcR2KlNz2T1z7Q,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1800.0,,,Thurgau
11,"Attikerstrasse 1, 8542 Wiesendangen, Switzerland",Attikerstrasse 1,8542,Wiesendangen,Switzerland,47.5229352,8.787503599999999,4.2,177,Coop Supermarkt Wiesendangen,ChIJ1dSfCaGQmkcRno87iWKCvVg,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Zürich
12,"Frauenfelderstrasse 4, 9542 Münchwilen, Switzerland",Frauenfelderstrasse 4,9542,Münchwilen,Switzerland,47.4793586,8.9954223,4.2,376,Coop Supermarkt Münchwilen,ChIJOw8emmjrmkcRELUQgQbJfr8,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,1900.0,,,Thurgau
13,"Bahnhofstrasse 18, 8580 Amriswil, Switzerland",Bahnhofstrasse 18,8580,Amriswil,Switzerland,47.5473328,9.3022052,4.2,405,Coop Supermarkt Amriswil,ChIJ94Bao7P8mkcR9h5opeCDqDQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,1800.0,,,Thurgau
14,"Juchstrasse 16, 8500 Frauenfeld, Switzerland",Juchstrasse 16,8500,Frauenfeld,Switzerland,47.56743519999999,8.9064266,4.2,216,Coop Supermarkt Frauenfeld Allmendcenter,ChIJS_I6EQWSmkcR91Sgeect1Ko,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1800.0,,,Thurgau
15,"Niederbürerstrasse 5, 9220 Bischofszell, Switzerland",Niederbürerstrasse 5,9220,Bischofszell,Switzerland,47.49022559999999,9.2377918,4.3,382,Coop Supermarkt Bischofszell,ChIJC65Em0DkmkcR0Po6sAESyLM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1800.0,,,Thurgau
16,"Frauenfelderstrasse 6, 8555 Müllheim, Switzerland",Frauenfelderstrasse 6,8555,Müllheim,Switzerland,47.60159669999999,9.0006948,4.2,214,Coop Supermarkt Müllheim,ChIJeww7PCyNmkcREsdAnOfsiGE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1800.0,,,Thurgau
17,"Kaltenbacherstrasse 32, 8260 Stein am Rhein, Switzerland",Kaltenbacherstrasse 32,8260,Stein,Switzerland,47.6530618,8.853229899999999,4.2,337,Coop Supermarkt Stein am Rhein,ChIJLQbylDaPmkcRFJnrjktiN-I,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,1800.0,,,Schaffhausen
18,"Herbergstrasse 12, 9524 Zuzwil, Switzerland",Herbergstrasse 12,9524,Zuzwil,Switzerland,47.4732184,9.1127353,4.4,257,Coop Supermarkt Zuzwil Herbergmarkt,ChIJ_U8K1SnpmkcRcb3a2PJDCDQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,2000.0,730.0,1700.0,,,St. Gallen
19,"Thannstrasse 2, 9403 Goldach, Switzerland",Thannstrasse 2,9403,Goldach,Switzerland,47.4793828,9.4698161,4.2,400,Coop Supermarkt Goldach,ChIJ-4xWFo8bm0cRnxkbH_oCRgo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,2000.0,730.0,1700.0,,,St. Gallen
20,"Via Crappa Grossa 24, 7130 Ilanz, Switzerland",Via Crappa Grossa 24,7130,Ilanz,Switzerland,46.7745918,9.1923234,4.4,500,Coop Supermarkt Ilanz,ChIJh9XYpCPehEcR7EIzDQBGtvE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1700.0,,,Graubünden
21,"Kirchstrasse 5, 7402 Bonaduz, Switzerland",Kirchstrasse 5,7402,Bonaduz,Switzerland,46.81195959999999,9.401216799999998,4.2,180,Coop Supermarkt Bonaduz,ChIJEdGZIpfDhEcRauTi6LVQaXY,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1800.0,,,Graubünden
22,"Quaderstrasse 36, 7000 Chur, Switzerland",Quaderstrasse 36,7000,Chur,Switzerland,46.85213,9.534748000000002,4.4,425,Coop Supermarket Chur Quader,ChIJYw1ExHnHhEcRx3tZWYJFQdo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1800.0,,,Graubünden
23,"Wiherwäg 9, 7075 Churwalden, Switzerland",Wiherwäg 9,7075,Churwalden,Switzerland,46.7792251,9.5441638,4.2,261,Coop Supermarkt Churwalden,ChIJ89iaHXW_hEcRgbOIpdo4Eco,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1800.0,900.0,1800.0,Graubünden
24,"Werkstättestrasse 5, 7302 Landquart, Switzerland",Werkstättestrasse 5,7302,Landquart,Switzerland,46.96678670000001,9.5557609,4.4,566,Coop Supermarkt Landquart,ChIJTYL2j4vJhEcRlDQgJiwfdBc,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,1800.0,,,Graubünden
25,"Via Nova 80, 7017 Flims, Switzerland",Via Nova 80,7017,Flims,Switzerland,46.8337617,9.2823183,4.4,439,Coop Supermarkt Flims Stenna,ChIJXSHKJordhEcR1IwJkBiYHPs,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1900.0,800.0,1800.0,Graubünden
26,"Freihofweg 5, 7310 Bad Ragaz, Switzerland",Freihofweg 5,7310,Bad,Switzerland,47.0033865,9.502198000000002,4.3,359,Coop Supermarkt Bad Ragaz,ChIJI7ZdVojLhEcRTdcBHGlSY7I,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1700.0,,,St. Gallen
27,"Raschärenstrasse 35, 7000 Chur, Switzerland",Raschärenstrasse 35,7000,Chur,Switzerland,46.8469965,9.508286299999998,4.4,601,Coop Supermarkt Chur West,ChIJG7fRdBDHhEcR-gvqGuSomvg,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,800.0,1800.0,,,Graubünden
28,"Via Nova 96, 7013 Domat/Ems, Switzerland",Via Nova 96,7013,Domat/Ems,Switzerland,46.8370349,9.452643899999998,4.3,303,Coop Supermarkt Domat-Ems,ChIJS-YtYKTGhEcRT9GEOxAp1w4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1830.0,,,Graubünden
29,"Dorfstrasse 2, 7220 Schiers, Switzerland",Dorfstrasse 2,7220,Schiers,Switzerland,46.97005420000001,9.684078899999998,4.3,328,Coop Supermarkt Schiers,ChIJNzI1A_izhEcRZpwNzHSdsWY,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,1800.0,,,Graubünden
30,"Rangsstrasse 33, 7205 Zizers, Switzerland",Rangsstrasse 33,7205,Zizers,Switzerland,46.9407743,9.5678764,4.6,115,Coop Supermarkt Zizers,ChIJ_yKYngTJhEcRQe6B-8pCaGc,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1930.0,730.0,1930.0,730.0,1930.0,730.0,1930.0,730.0,1930.0,730.0,1800.0,,,Graubünden
31,"Via Sura Hauptstrasse, 7530 Zernez, Switzerland",Via Sura Hauptstrasse,7530,Zernez,Switzerland,46.6998918,10.0935894,4.2,269,Coop Supermarkt Zernez,ChIJOffZBrBCg0cRpMLfdvmWM84,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,1400.0,1830.0,1400.0,1830.0,1400.0,1830.0,1400.0,1830.0,1400.0,1830.0,800.0,1700.0,,,Graubünden
32,"Tittwiesenstrasse 66, 7000 Chur, Switzerland",Tittwiesenstrasse 66,7000,Chur,Switzerland,46.85917389999999,9.5268126,4.3,246,Coop Supermarkt Chur Tittwiesen,ChIJrxZYBp_HhEcRGaHzbIjjzNw,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,1800.0,,,Graubünden
33,"Via Acletta 1, 7180 Disentis/Mustér, Switzerland",Via Acletta 1,7180,Disentis/Mustér,Switzerland,46.70005990000001,8.8420308,4.3,317,Coop Supermarkt Disentis,ChIJ5bmZnjkRhUcR2qsofBAAm20,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1800.0,900.0,1800.0,Graubünden
