Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Oberwiesenstrasse 63, 8500 Frauenfeld, Switzerland",Oberwiesenstrasse 63,8500,Frauenfeld,Thurgau,Switzerland,47.5567425,8.8812994,4.2,175,Denner Discount,ChIJ6XU2aI2RmkcR46cp8OjTenw,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,1800
"Zürcherstrasse 297, 8500 Frauenfeld, Switzerland",Zürcherstrasse 297,8500,Frauenfeld,Thurgau,Switzerland,47.5638606,8.9081643,4.2,126,Denner Discount,ChIJZa8DZRCSmkcRJLzUGMa9cso,,0800,0800,0800,0800,0800,0800,,2000,2000,2000,2000,2000,1800
"Konstanzerstrasse 28, 9512 Rossrüti, Switzerland",Konstanzerstrasse 28,9512,Rossrüti,St. Gallen,Switzerland,47.474162,9.0623052,4.5,135,Denner Partner,ChIJn9yQtuLrmkcRg_3RjYMr6K8,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1700
"Zürcherstrasse 65 / 67, 8500 Frauenfeld, Switzerland",Zürcherstrasse 65 / 67,8500,Frauenfeld,Thurgau,Switzerland,47.55267749999999,8.8843678,4.0,204,Denner Discount,ChIJvWm8po6RmkcRK7r-PNNL2iQ,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,1800
"Tägerwilerstrasse 6, 8280 Kreuzlingen, Switzerland",Tägerwilerstrasse 6,8280,Kreuzlingen,Zürich,Switzerland,47.65558240000001,9.1635159,4.3,216,Denner Discount,ChIJ5bn8LN72mkcRK8_nhx6shmM,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,2000
"Weinfelderstrasse 13a, 9542 Münchwilen, Switzerland",Weinfelderstrasse 13a,9542,Münchwilen,Thurgau,Switzerland,47.4786544,8.999281000000002,4.4,141,Denner Express,ChIJXwiDbm_rmkcR1H1SzdvmIDc,,0800,0800,0800,0800,0800,0800,,1830,1830,1830,1830,1830,1700
"Hagenwilerstrasse 1, 8580 Amriswil, Switzerland",Hagenwilerstrasse 1,8580,Amriswil,Thurgau,Switzerland,47.543834,9.285908,4.3,379,Denner Discount,ChIJP4BuElXjmkcRprrhit0Xzto,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,1900
"Amriswilerstrasse 12, 8570 Weinfelden, Switzerland",Amriswilerstrasse 12,8570,Weinfelden,Thurgau,Switzerland,47.56757959999999,9.1106765,4.1,97,Denner Discount,ChIJN8HwV-TxmkcRK0jh-GlYvBA,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1900,1900,1800
"Weststrasse 27 / 29, 8570 Weinfelden, Switzerland",Weststrasse 27 / 29,8570,Weinfelden,Thurgau,Switzerland,47.56747310000001,9.0942241,4.4,185,Denner Discount,ChIJT6NpifjxmkcRGHG_aM_JYLw,,0800,0800,0800,0800,0800,0800,,2000,2000,2000,2000,2000,1900
"Bahnhofpl. 72, 8500 Frauenfeld, Switzerland",Bahnhofpl. 72,8500,Frauenfeld,Thurgau,Switzerland,47.5572283,8.896273599999999,4.2,49,Denner Discount,ChIJW3rmgB-SmkcRbECCocS3GvE,,0800,0800,0800,0800,0800,0800,,2000,2000,2000,2000,2000,1800
