Address,Street Name,Zip Code,City,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close
"Walkestrasse 28, 8570 Weinfelden, Switzerland",Walkestrasse 28,8570,Weinfelden,Switzerland,47.56473999999999,9.096497199999998,4.3,493,Lidl Schweiz,ChIJnywZ2_7xmkcRo9lo_6oO4Ns,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,0730,2000,,
"Schrofenstrasse 13, 8580 Amriswil, Switzerland",Schrofenstrasse 13,8580,Amriswil,Switzerland,47.5466318,9.273675700000002,4.1,380,Lidl Schweiz,ChIJOS2AtFL7mkcRGze61n1r1NI,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,0730,2000,,
"Langfeldstrasse 70, 8500 Frauenfeld, Switzerland",Langfeldstrasse 70,8500,Frauenfeld,Switzerland,47.5655874,8.9076819,4.1,568,Lidl Schweiz,ChIJY2EFABCSmkcRO9Ecu5Wj9YI,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,0730,2000,,
"Seetalstrasse 90, 8280 Kreuzlingen, Switzerland",Seetalstrasse 90,8280,Kreuzlingen,Switzerland,47.6404377,9.199322300000002,4.3,398,Lidl Schweiz,ChIJO_l3QE_3mkcRL9aByY5FLgk,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,0730,2000,,
"Kreuzlingerstrasse 48, 8590 Romanshorn, Switzerland",Kreuzlingerstrasse 48,8590,Romanshorn,Switzerland,47.5711209,9.366506700000002,4.1,296,Lidl Schweiz,ChIJTdm08gz9mkcRYFjnpSUyVaU,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,0730,2000,,
"Frauenfelderstrasse 20c, 9542 Münchwilen, Switzerland",Frauenfelderstrasse 20c,9542,Münchwilen,Switzerland,47.48159369999999,8.9925166,4.2,437,Lidl Schweiz,ChIJiUOy2zkGkEcR8rP5Hy-vvCc,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,0730,2000,,
"Glärnischstrasse 5, 9535 Wilen, Switzerland",Glärnischstrasse 5,9535,Wilen,Switzerland,47.45388,9.041350000000001,4.0,549,Lidl Schweiz,ChIJM_aS_s7rmkcRl20rvkOStMY,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,0730,2000,,
"Waldburgstrasse 11, 9244 Uzwil, Switzerland",Waldburgstrasse 11,9244,Uzwil,Switzerland,47.44260959999999,9.1463638,4.0,402,Lidl,ChIJb6CfTIHomkcRri1kiYNeqx8,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1900,0730,1900,0730,1900,0730,1900,0730,2000,0730,1700,,
"Arbonerstrasse 25, 9300 Wittenbach, Switzerland",Arbonerstrasse 25,9300,Wittenbach,Switzerland,47.46361,9.393839999999997,4.1,413,Lidl Schweiz,ChIJx29mptAdm0cR-6A0nf5wIFI,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1900,0730,1900,0730,1900,0730,2100,0730,1900,0730,1700,,
"Pündtstrasse 7, 9320 Arbon, Switzerland",Pündtstrasse 7,9320,Arbon,Switzerland,47.49872930000001,9.420763100000002,4.2,562,Lidl,ChIJh10m8v4cm0cR2h9nENRqIGs,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2100,0730,2000,0730,2000,,
"Dunantstrasse 16, 8570 Weinfelden, Switzerland",Dunantstrasse 16,8570,Weinfelden,Switzerland,47.56541929999999,9.089411,4.1,372,Warenverteilzentrum Lidl Schweiz,ChIJsyN_5QHymkcRZvRV2T_UFFg,Monday,Tuesday,Wednesday,Thursday,Friday,,,0800,1700,0800,1700,0800,1700,0800,1700,0800,1700,,,,
