Type,Store ID,Name,Address,Opening Hour,Zip Code,City,Canton
M-Migros,90320,Aachtal,"Schrofenstrasse 19, 8580 Amriswil",,8580,Amriswil,Zürich
M-Migros,93780,Aadorf,"Bahnhofstrasse 2, 8355 Aadorf",,8355,Aadorf,Zürich
MM-Migros,34213,Aarau - Igelweid,"Igelweid 18, 5000 Aarau",,5000,Aarau,Aargau
M-Migros,33823,Aarau Bahnhof,"Bahnhofplatz 3h, 5000 Aarau",,5000,Aarau,Aargau
MM-Migros,90491,Abtwil - Säntispark,"Wiesenbachstrasse 7, 9030 Abtwil SG",,9030,Abtwil,Zürich
M-Migros,73340,Adligenswil LU,"Obgardirain 1, 6043 Adligenswil",,6043,Adligenswil,Luzern
MM-Migros,150062,Adliswil,"Albisstrasse 10, 8134 Adliswil",,8134,Adliswil,Zürich
MM-Migros,24600,Aesch,"Hauptstrasse 95, 4147 Aesch",,4147,Aesch,Basel-Landschaft
MM-Migros,150079,Affoltern a. A.,"Oberdorfstrasse 4, 8910 Affoltern am Albis",,8910,Affoltern,Zürich
MM-Migros,84360,Agy,"route d'Agy 2, 1763 Granges-Paccot",,1763,Granges,Fribourg
MMM-Migros,65100,Aigle - Chablais Centre,"Ch. Sous-le-Grand Pré 4, 1860 Aigle",,1860,Aigle,Vaud
M-Migros,63665,Aigle gare,"Place de la gare 5, 1860 Aigle",,1860,Aigle,Vaud
MMM-Migros,24720,Allschwil - Paradies,"Spitzwaldstrasse 215, 4123 Allschwil",,4123,Allschwil,Basel-Landschaft
M-Migros,23220,Allschwil - Ziegelei,"Baslerstrasse 191, 4123 Allschwil",,4123,Allschwil,Basel-Landschaft
Migros-Partner,29530,Allschwil-Lindenplatz,"Lindenplatz 1, 4123 Allschwil",,4123,Allschwil,Basel-Landschaft
M-Migros,73990,Altdorf,"Gitschenstrasse 14, 6460 Altdorf",,6460,Altdorf,Uri
MM-Migros,90415,Altstätten SG,"Stossstrasse 2, 9450 Altstätten SG",,9450,Altstätten,Zürich
MM-Migros,90420,Amriswil,"Rütistrasse 10a, 8580 Amriswil",,8580,Amriswil,Zürich
M-Migros,93790,Andelfingen,"Weinlandstrasse 4, 8451 Kleinandelfingen",,8451,Kleinandelfingen,Zürich
MM-Migros,90422,Appenzell,"Unteres Ziel, 9050 Appenzell",,9050,Appenzell,Zürich
M-Migros,123780,Arbedo Castione,"Via Corogna, 6532 Castione",,6532,Castione,Ticino
MM-Migros,90421,Arbon,"St. Gallerstrasse 6, 9320 Arbon",,9320,Arbon,Zürich
MM-Migros,24630,Arlesheim,"Postplatz 7, 4144 Arlesheim",,4144,Arlesheim,Basel-Landschaft
M-Migros,123750,Ascona,"Via Muraccio 2, 6612 Ascona",,6612,Ascona,Ticino
M-Migros,90323,Au SG,"Nollenhornstrasse 9, 9434 Au SG",,9434,Au,Zürich
Migros-Partner,63102,Aubonne,"des Fossés-Dessous, 1170 Aubonne",,1170,Aubonne,Vaud
M-Migros,83810,Avenches,"Route de Pré-Vert 5, 1580 Avenches",,1580,Avenches,Vaud
MMM-Migros,84710,Avry Centre,"Route de Matran 9, 1754 Avry-sur-Matran",,1754,Avry,Fribourg
M-Migros,73850,Baar,"Bahnhofstrasse 5, 6340 Baar",,6340,Baar,Luzern
Migros-Partner,90728,Bad Ragaz,"Bahnhofstrasse 2, 7310 Bad Ragaz",,7310,Bad,Graubünden
MM-Migros,34393,Bad Zurzach,"Promenadenstrasse 10, 5330 Bad Zurzach",,5330,Bad,Aargau
MM-Migros,34233,Baden - City,"Bahnhofstrasse 40/42, 5400 Baden",,5400,Baden,Aargau
M-Migros,33723,Balsthal,"Goldgasse 13, 4710 Balsthal",,4710,Balsthal,Solothurn
M-Migros,23170,Basel - Allschwiler,"Allschwilerstrasse 31, 4055 Basel",,4055,Basel,Basel-Stadt
M-Migros,23900,Basel - Bahnhof SBB,"Centralbahnstrasse 10, 4051 Basel",,4051,Basel,Basel-Stadt
Migros-Partner,29560,Basel - Birsigstrasse,"Birsigstrasse 105, 4054 Basel",,4054,Basel,Basel-Stadt
MM-Migros,24560,Basel - Burgfelder,"Burgfelderstrasse 11, 4055 Basel",,4055,Basel,Basel-Stadt
MMM-Migros,24240,Basel - Claramarkt,"Untere Rebgasse 11, 4058 Basel",,4058,Basel,Basel-Stadt
MM-Migros,24280,Basel - Drachen-Center,"Aeschenvorstadt 24, 4051 Basel",,4051,Basel,Basel-Stadt
Migros Fachmarkt,23200,Basel - Dreispitz MParc,"Münchensteinerstrasse 200, 4053 Basel",,4053,Basel,Basel-Stadt
MM-Migros,23840,Basel - Efringer,"Efringerstrasse 32, 4057 Basel",,4057,Basel,Basel-Stadt
M-Migros,23880,Basel - Eglisee,"Riehenstrasse 315, 4058 Basel",,4058,Basel,Basel-Stadt
MM-Migros,24520,Basel - Gundelitor,"Güterstrasse 180, 4053 Basel",,4053,Basel,Basel-Stadt
M-Migros,23870,Basel - Hardstrasse,"Hardstrasse 105, 4052 Basel",,4052,Basel,Basel-Stadt
Migros-Partner,29600,Basel - Inselstrasse,"Inselstrasse 63, 4057 Basel",,4057,Basel,Basel-Stadt
M-Migros,23890,Basel - Juniors Market,"Grenzacherstrasse 62/64, 4058 Basel",,4058,Basel,Basel-Stadt
Migros-Partner,29520,Basel - Lachenstrasse,"Lachenstrasse 1, 4056 Basel",,4056,Basel,Basel-Stadt
M-Migros,23820,Basel - Märtplatz,"Eisengasse 12, 4051 Basel",,4051,Basel,Basel-Stadt
M-Migros,23720,Basel - Mülhauser,"Mülhauserstrasse 70-72, 4056 Basel",,4056,Basel,Basel-Stadt
