Type,Store ID,Name,Address,Opening Hour,Zip Code,City,Canton,Longitude,Latitude
M-Migros,90320,Aachtal,"Schrofenstrasse 19, 8580 Amriswil",,8580,Amriswil,Zürich,9.2733516,47.5481986
M-Migros,93780,Aadorf,"Bahnhofstrasse 2, 8355 Aadorf",,8355,Aadorf,Zürich,8.899659,47.490191
MM-Migros,34213,Aarau - Igelweid,"Igelweid 18, 5000 Aarau",,5000,Aarau,Aargau,8.046135,47.39173
M-Migros,33823,Aarau Bahnhof,"Bahnhofplatz 3h, 5000 Aarau",,5000,Aarau,Aargau,8.0528712,47.391848
MM-Migros,90491,Abtwil - Säntispark,"Wiesenbachstrasse 7, 9030 Abtwil SG",,9030,Abtwil,Zürich,9.3165209,47.4177991
M-Migros,73340,Adligenswil LU,"Obgardirain 1, 6043 Adligenswil",,6043,Adligenswil,Luzern,8.361919,47.0714902
MM-Migros,150062,Adliswil,"Albisstrasse 10, 8134 Adliswil",,8134,Adliswil,Zürich,8.5252778,47.3111111
MM-Migros,24600,Aesch,"Hauptstrasse 95, 4147 Aesch",,4147,Aesch,Basel-Landschaft,7.5954839,47.4689965
MM-Migros,150079,Affoltern a. A.,"Oberdorfstrasse 4, 8910 Affoltern am Albis",,8910,Affoltern,Zürich,8.4535135,47.2782632
MM-Migros,84360,Agy,"route d'Agy 2, 1763 Granges-Paccot",,1763,Granges,Fribourg,7.1540088,46.8208122
MMM-Migros,65100,Aigle - Chablais Centre,"Ch. Sous-le-Grand Pré 4, 1860 Aigle",,1860,Aigle,Vaud,6.9360255,46.3175551
M-Migros,63665,Aigle gare,"Place de la gare 5, 1860 Aigle",,1860,Aigle,Vaud,6.964893099999999,46.316088
MMM-Migros,24720,Allschwil - Paradies,"Spitzwaldstrasse 215, 4123 Allschwil",,4123,Allschwil,Basel-Landschaft,7.5532678,47.5475645
M-Migros,23220,Allschwil - Ziegelei,"Baslerstrasse 191, 4123 Allschwil",,4123,Allschwil,Basel-Landschaft,7.5502509,47.5530644
Migros-Partner,29530,Allschwil-Lindenplatz,"Lindenplatz 1, 4123 Allschwil",,4123,Allschwil,Basel-Landschaft,7.560574900000001,47.55786639999999
M-Migros,73990,Altdorf,"Gitschenstrasse 14, 6460 Altdorf",,6460,Altdorf,Uri,8.641610499999999,46.8796664
MM-Migros,90415,Altstätten SG,"Stossstrasse 2, 9450 Altstätten SG",,9450,Altstätten,Zürich,9.5373227,47.37710449999999
MM-Migros,90420,Amriswil,"Rütistrasse 10a, 8580 Amriswil",,8580,Amriswil,Zürich,9.2981099,47.5466163
M-Migros,93790,Andelfingen,"Weinlandstrasse 4, 8451 Kleinandelfingen",,8451,Kleinandelfingen,Zürich,8.6887168,47.6019644
MM-Migros,90422,Appenzell,"Unteres Ziel, 9050 Appenzell",,9050,Appenzell,Zürich,9.4086941,47.3346022
M-Migros,123780,Arbedo Castione,"Via Corogna, 6532 Castione",,6532,Castione,Ticino,9.0441638,46.2251077
MM-Migros,90421,Arbon,"St. Gallerstrasse 6, 9320 Arbon",,9320,Arbon,Zürich,9.4323491,47.5133489
MM-Migros,24630,Arlesheim,"Postplatz 7, 4144 Arlesheim",,4144,Arlesheim,Basel-Landschaft,7.6185546,47.49426099999999
M-Migros,123750,Ascona,"Via Muraccio 2, 6612 Ascona",,6612,Ascona,Ticino,8.7738011,46.1542119
M-Migros,90323,Au SG,"Nollenhornstrasse 9, 9434 Au SG",,9434,Au,Zürich,9.6380345,47.4311521
Migros-Partner,63102,Aubonne,"des Fossés-Dessous, 1170 Aubonne",,1170,Aubonne,Vaud,6.3902017,46.4948658
M-Migros,83810,Avenches,"Route de Pré-Vert 5, 1580 Avenches",,1580,Avenches,Vaud,7.0455299,46.8864868
MMM-Migros,84710,Avry Centre,"Route de Matran 9, 1754 Avry-sur-Matran",,1754,Avry,Fribourg,7.0781119,46.7876479
M-Migros,73850,Baar,"Bahnhofstrasse 5, 6340 Baar",,6340,Baar,Luzern,8.525,47.1955556
Migros-Partner,90728,Bad Ragaz,"Bahnhofstrasse 2, 7310 Bad Ragaz",,7310,Bad,Graubünden,9.501330099999999,47.0033869
MM-Migros,34393,Bad Zurzach,"Promenadenstrasse 10, 5330 Bad Zurzach",,5330,Bad,Aargau,8.2962551,47.5859375
MM-Migros,34233,Baden - City,"Bahnhofstrasse 40/42, 5400 Baden",,5400,Baden,Aargau,8.3085122,47.4769437
M-Migros,33723,Balsthal,"Goldgasse 13, 4710 Balsthal",,4710,Balsthal,Solothurn,7.695344299999999,47.316742
M-Migros,23170,Basel - Allschwiler,"Allschwilerstrasse 31, 4055 Basel",,4055,Basel,Basel-Stadt,7.573294,47.55601
M-Migros,23900,Basel - Bahnhof SBB,"Centralbahnstrasse 10, 4051 Basel",,4051,Basel,Basel-Stadt,7.5887825,47.5477915
Migros-Partner,29560,Basel - Birsigstrasse,"Birsigstrasse 105, 4054 Basel",,4054,Basel,Basel-Stadt,7.5783697,47.5500859
MM-Migros,24560,Basel - Burgfelder,"Burgfelderstrasse 11, 4055 Basel",,4055,Basel,Basel-Stadt,7.5726274,47.5623944
MMM-Migros,24240,Basel - Claramarkt,"Untere Rebgasse 11, 4058 Basel",,4058,Basel,Basel-Stadt,7.592391699999999,47.5617083
MM-Migros,24280,Basel - Drachen-Center,"Aeschenvorstadt 24, 4051 Basel",,4051,Basel,Basel-Stadt,7.5929774,47.5526875
Migros Fachmarkt,23200,Basel - Dreispitz MParc,"Münchensteinerstrasse 200, 4053 Basel",,4053,Basel,Basel-Stadt,7.603871000000001,47.539343
MM-Migros,23840,Basel - Efringer,"Efringerstrasse 32, 4057 Basel",,4057,Basel,Basel-Stadt,7.5964325,47.56916349999999
M-Migros,23880,Basel - Eglisee,"Riehenstrasse 315, 4058 Basel",,4058,Basel,Basel-Stadt,7.615326400000001,47.56990589999999
MM-Migros,24520,Basel - Gundelitor,"Güterstrasse 180, 4053 Basel",,4053,Basel,Basel-Stadt,7.592101899999999,47.5435858
M-Migros,23870,Basel - Hardstrasse,"Hardstrasse 105, 4052 Basel",,4052,Basel,Basel-Stadt,7.607247300000001,47.5493601
Migros-Partner,29600,Basel - Inselstrasse,"Inselstrasse 63, 4057 Basel",,4057,Basel,Basel-Stadt,7.590504799999999,47.57738639999999
M-Migros,23890,Basel - Juniors Market,"Grenzacherstrasse 62/64, 4058 Basel",,4058,Basel,Basel-Stadt,7.6018015,47.55872410000001
Migros-Partner,29520,Basel - Lachenstrasse,"Lachenstrasse 1, 4056 Basel",,4056,Basel,Basel-Stadt,7.569788699999999,47.5681772
M-Migros,23820,Basel - Märtplatz,"Eisengasse 12, 4051 Basel",,4051,Basel,Basel-Stadt,7.587763799999999,47.55928129999999
M-Migros,23720,Basel - Mülhauser,"Mülhauserstrasse 70-72, 4056 Basel",,4056,Basel,Basel-Stadt,7.5794147,47.56836329999999
M-Migros,23670,Basel - Neuweiler,"Neuweilerplatz 7, 4054 Basel",,4054,Basel,Basel-Stadt,7.564209900000001,47.5469482
M-Migros,23160,Basel - Schützenmatt,"Schützenmattstrasse 27, 4051 Basel",,4051,Basel,Basel-Stadt,7.581315699999999,47.5560442
M-Migros,23910,Basel - Stücki,"Hochbergerstrasse 70, 4057 Basel",,4057,Basel,Basel-Stadt,7.5963342,47.5799457
Migros-Partner,29510,Basel - Wanderstrasse,"Wanderstrasse 121, 4054 Basel",,4054,Basel,Basel-Stadt,7.563035299999999,47.5518918
Migros-Partner,29610,Basel - Wasgenring,"Blotzheimerstrasse 61, 4055 Basel",,4055,Basel,Basel-Stadt,7.564845599999999,47.5610829
Migros-Partner,29500,Basel - Zürcherstrasse,"Zürcherstrasse 160, 4052 Basel",,4052,Basel,Basel-Stadt,7.614787799999999,47.5553278
MM-Migros,150164,Bassersdorf,"Baltenswilerstrasse 5a, 8303 Bassersdorf",,8303,Bassersdorf,Zürich,8.629882199999999,47.44250539999999
M-Migros,93300,Bauma,"Heinrich - Gujerstrasse 10, 8494 Bauma",,8494,Bauma,Zürich,8.8777103,47.3680611
Migros-Partner,63142,Bavois,"Autoroute A1, Restoroute de Bavois, 1372 Bavois",,1372,Bavois,Vaud,6.5688889,46.6747222
M-Migros,90380,Bazenheid,"Wilerstrasse 17, 9602 Bazenheid",,9602,Bazenheid,St. Gallen,9.0680487,47.4126765
M-Migros,83670,Beauregard,"Chemin de Béthléem 7, 1700 Fribourg",,1700,Fribourg,Fribourg,7.144433299999999,46.8006093
M-Migros,83850,Belfaux,"route de Lossy 16b, 1782 Belfaux",,1782,Belfaux,Fribourg,7.1090227,46.8228541
MM-Migros,124210,Bellinzona - Piazza del Sole,"Piazza Rinaldo Simen 8, 6500 Bellinzona",,6500,Bellinzona,Ticino,9.0242741,46.1936129
MM-Migros,34540,Belp,"Steinbachstrasse 28, 3123 Belp",,3123,Belp,Bern,7.493174,46.8965219
M-Migros,33893,Berikon - Mutschellen,"Bellikerstrasse 13, 8965 Berikon",,8965,Berikon,Zürich,8.3658865,47.3635301
M-Migros,93700,Beringen,"Schaffhauserstrasse 72, 8222 Beringen",,8222,Beringen,Zürich,8.5823278,47.6959077
MM-Migros,34450,Bern - Bachmätteli,"Bottigenstrasse 7, 3018 Bern",,3018,Bern,Bern,7.3898398,46.9394199
MM-Migros,34530,Bern - Bahnhof,"Bahnhofplatz 10, 3011 Bern",,3011,Bern,Bern,7.4400441,46.9492666
