Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Konstanzerstrasse 11, 9512 Rossrüti, Switzerland",Konstanzerstrasse 11,9512,Rossrüti,St. Gallen,Switzerland,47.4732242,9.0599045,4.5,188,Spar,ChIJJS62HuPrmkcRsuLAmO-Ircs,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1700
"Winterthurerstrasse 4, 8360 Eschlikon, Switzerland",Winterthurerstrasse 4,8360,Eschlikon,Zürich,Switzerland,47.4623775,8.955030200000001,4.2,122,SPAR Supermarkt Eschlikon,ChIJ1zIv9tGUmkcRAzuznQ7VrAQ,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1700
"Hauptstrasse 129, 8272 Ermatingen, Switzerland",Hauptstrasse 129,8272,Ermatingen,Zürich,Switzerland,47.6689783,9.084604299999999,4.4,133,SPAR Supermarkt Ermatingen,ChIJt7S6SVr0mkcRWV4zU8NrixQ,,0630,0630,0630,0630,0630,0630,,2000,2000,2000,2000,2000,2000
"Weinfelderstrasse 74, 8580 Amriswil, Switzerland",Weinfelderstrasse 74,8580,Amriswil,Thurgau,Switzerland,47.54479200000001,9.285347900000001,4.1,229,SPAR Supermarkt Amriswil mit TS Tamoil,ChIJDeakRFXjmkcRUWMlBPZGGl0,0800,0600,0600,0600,0600,0600,0600,2000,2200,2200,2200,2200,2200,2200
"Zürcherstrasse 369, 8500 Frauenfeld, Switzerland",Zürcherstrasse 369,8500,Frauenfeld,Thurgau,Switzerland,47.56961010000001,8.9179547,,,SPAR express,ChIJ7-eEDl-TmkcRkHAAke4Eh_o,,,,,,,,,,,,,,
"Bahnhofstrasse 1, 8575 Bürglen, Switzerland",Bahnhofstrasse 1,8575,Bürglen,Thurgau,Switzerland,47.549372,9.152817400000002,4.2,170,SPAR Supermarkt Bürglen,ChIJ1Q2lrNvvmkcRIHexhnt2bIw,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1700
"Weinstrasse 23/25, 8280 Kreuzlingen, Switzerland",Weinstrasse 23/25,8280,Kreuzlingen,Zürich,Switzerland,47.64462949999999,9.1861407,4,251,SPAR Supermarkt Kreuzlingen,ChIJZzLReDr3mkcRf5IWGqRRyk8,0800,0600,0600,0600,0600,0600,0600,2000,2200,2200,2200,2200,2200,2200
"Ulrich-Röschstrasse 3/4, 9403 Goldach, Switzerland",Ulrich-Röschstrasse 3/4,9403,Goldach,Zürich,Switzerland,47.47442849999999,9.4659853,4.1,94,SPAR Supermarkt Goldach,ChIJQZ10eIwbm0cRysqSC6cg9aw,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1700
"Jonschwilerstrasse 12, 9536 Schwarzenbach, Switzerland",Jonschwilerstrasse 12,9536,Schwarzenbach,St. Gallen,Switzerland,47.4117378,9.0885942,4.5,116,SPAR Supermarkt Schwarzenbach,ChIJn3xdCZ_pmkcRaU4bEkq8bos,,1330,1330,1330,1330,1330,0700,,1900,1900,1900,1900,1900,1700
"Breitschachenstrasse 8, 9032 Engelburg&nbsp, Switzerland",Breitschachenstrasse 8,9032,Engelburg&nbsp,Zürich,Switzerland,47.4420343,9.3488355,4.1,195,SPAR Supermarkt Engelburg,ChIJkWN-Sycdm0cRSC9oaSC-c3M,,0700,0700,0700,0700,0700,0700,,2000,2000,2000,2000,2000,1700
"Gründenstrasse 5, 8247 Flurlingen, Switzerland",Gründenstrasse 5,8247,Flurlingen,Schaffhausen,Switzerland,47.68442880000001,8.627481300000001,4.4,52,SPAR,ChIJg_siWFB_kEcRpPdX2f0dchU,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1900
"Mühlebachstrasse 1, 9230 Flawil, Switzerland",Mühlebachstrasse 1,9230,Flawil,Zürich,Switzerland,47.41633940000001,9.1729898,4.2,79,SPAR Supermarkt Flawil,ChIJsWvpIL7nmkcRTeTzyXy3nuU,,1330,1330,1330,1330,1330,0800,,1830,1830,1830,1830,1830,1700
