Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Poststrasse 1, 8556 Wigoltingen, Switzerland",Poststrasse 1,8556,Wigoltingen,Thurgau,Switzerland,47.59780500000001,9.031132699999999,4.3,52,Volg,ChIJEbh2o-fymkcRMdrSibJ2EqI,,0600,0600,0600,0600,0600,0600,,2000,2000,2000,2000,2000,2000
"Thundorferstrasse 118, 8500 Frauenfeld, Switzerland",Thundorferstrasse 118,8500,Frauenfeld,Thurgau,Switzerland,47.5473671,8.9095707,4.3,88,Volg,ChIJh4UdlTmSmkcR8j_Rst9QtRk,,0600,0600,0600,0600,0600,0600,,2100,2100,2100,2100,2100,2100
"Hauptstrasse 47a, 8572 Berg, Switzerland",Hauptstrasse 47a,8572,Berg,Thurgau,Switzerland,47.57936099999999,9.1667671,4.5,196,Volg,ChIJtZRcQ0HwmkcRwrCJ_UlCXUw,,0600,0600,0600,0600,0600,0600,,2100,2100,2100,2100,2100,2100
"Kesswilerstrasse 4, 8592 Uttwil, Switzerland",Kesswilerstrasse 4,8592,Uttwil,Thurgau,Switzerland,47.5843398,9.340247900000001,4.3,90,Volg,ChIJ866imVb8mkcR1Kdy0YtHRE0,,0600,0600,0600,0600,0600,0700,,2000,2000,2000,2000,2000,1900
"Uttwilerstrasse 3, 8593 Kesswil, Switzerland",Uttwilerstrasse 3,8593,Kesswil,Thurgau,Switzerland,47.5936442,9.3180175,4.6,53,Volg,ChIJY5veRm_8mkcRvN6CqIesE60,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1900
"Bahnhofstrasse 50, 8360 Eschlikon, Switzerland",Bahnhofstrasse 50,8360,Eschlikon,Zürich,Switzerland,47.4645148,8.9692395,4.3,97,Volg,ChIJPx-8nTHrmkcRb6oUcv9Ejt0,,0600,0600,0600,0600,0600,0700,,2000,2000,2000,2000,2000,1900
"Amriswilerstrasse 31, 8570 Weinfelden, Switzerland",Amriswilerstrasse 31,8570,Weinfelden,Thurgau,Switzerland,47.5668259,9.1170778,4.3,66,Volg,ChIJH0qknufxmkcR0JaKgJGQ_cU,,0600,0600,0600,0600,0600,0600,,2100,2100,2100,2100,2100,2100
"Im Geere 1, 8552 Felben-Wellhausen, Switzerland",Im Geere 1,8552,Felben-Wellhausen,Thurgau,Switzerland,47.5781333,8.9444167,4.3,90,Volg,ChIJHZ3J3oONmkcRQ2CfMsBJ-jU,,0600,0600,0600,0600,0600,0600,,2100,2100,2100,2100,2100,2100
"Märwilerstrasse 3, 9556 Affeltrangen, Switzerland",Märwilerstrasse 3,9556,Affeltrangen,Thurgau,Switzerland,47.5271988,9.0316362,4.4,128,Volg Affeltrangen,ChIJXX7YRLWSmkcRWj6OhRBnoD8,,0600,0600,0600,0600,0600,0600,,2000,2000,2000,2000,2000,2000
"Schaffhauserstrasse 5, 8524 Uesslingen-Buch, Switzerland",Schaffhauserstrasse 5,8524,Uesslingen-Buch,Thurgau,Switzerland,47.5796821,8.833473999999999,4.5,97,Volg,ChIJjUKeJCeQmkcRq2_YVztL1_Y,,0630,0630,0630,0630,0630,0730,,1900,1900,1900,1900,1900,1600
"Aadorferstrasse 2, 9545 Wängi, Switzerland",Aadorferstrasse 2,9545,Wängi,Thurgau,Switzerland,47.4965646,8.9522697,4.5,45,Volg Wängi,ChIJzYuHwV6TmkcRhSn4n7CwRrg,,0600,0600,0600,0600,0600,0600,,2000,2000,2000,2000,2000,2000
"Platanenweg 2, 8548 Ellikon an der Thur, Switzerland",Platanenweg 2,8548,Ellikon,Thurgau,Switzerland,47.5632453,8.8241516,4.5,36,Volg,ChIJI80Adz-QmkcRDeRI8uON-Ys,,1400,1400,1400,1400,1400,0700,,1900,1900,1900,1900,1900,1600
"Heerenwies 1, 8586 Erlen, Switzerland",Heerenwies 1,8586,Erlen,Thurgau,Switzerland,47.5503074,9.2287648,4.3,93,VOLG Aachbrüggli Erlen,ChIJadZr1dT6mkcRpxVLobU71yg,,0600,0600,0600,0600,0600,0600,,1900,1900,1900,1900,1900,1600
"Hauptstrasse 30, 8505 Pfyn, Switzerland",Hauptstrasse 30,8505,Pfyn,Thurgau,Switzerland,47.5957266,8.954593000000001,4.2,44,Volg,ChIJLfBACwqNmkcRdQ_hjMUMlts,,0600,0600,0600,0600,0600,0600,,2100,2100,2100,2100,2100,2100
"Kennerwiesstrasse 1, 8575 Bürglen, Switzerland",Kennerwiesstrasse 1,8575,Bürglen,Thurgau,Switzerland,47.5507492,9.1518056,4.4,140,Volg Bürglen TG,ChIJ8TjAPdrvmkcRCH4b3is7oQw,,0700,0700,0700,0700,0700,0700,,1930,1930,1930,1930,1930,1930
"Zentrum 7, 9214 Kradolf-Schönenberg, Switzerland",Zentrum 7,9214,Kradolf-Schönenberg,Zürich,Switzerland,47.5249518,9.199743200000002,4.4,123,Volg Kradolf,ChIJeRgurm3lmkcRDi_UDSTHzhA,0800,0600,0600,0600,0600,0600,0700,1400,1930,1930,1930,1930,1930,1930
"Hauptstrasse 123, 8272 Ermatingen, Switzerland",Hauptstrasse 123,8272,Ermatingen,Zürich,Switzerland,47.6691625,9.083693999999998,4.2,60,Volg,ChIJ4Q0oO1r0mkcRqG8A5tX1eQ4,,,,,,,,,,,,,,
"Hauptstrasse 7, 8363 Bichelsee-Balterswil, Switzerland",Hauptstrasse 7,8363,Bichelsee-Balterswil,Zürich,Switzerland,47.448414,8.926379699999998,4.6,35,Volg,ChIJr6dEfhmVmkcRh94Ncfynhbk,,0600,0600,0600,0600,0600,0700,,2000,2000,2000,2000,2000,1900
"Schützenstrasse 1, 8355 Aadorf, Switzerland",Schützenstrasse 1,8355,Aadorf,Zürich,Switzerland,47.4886169,8.9037771,4.5,67,Volg,ChIJO3SavXGUmkcRgNFiYszfiJ0,,0600,0600,0600,0600,0600,0600,,2100,2100,2100,2100,2100,2100
"mit Postagentur, Hauptstrasse 15, 8536 Hüttwilen, Switzerland",mit Postagentur,8536,Hüttwilen,Thurgau,Switzerland,47.6072309,8.8701189,4.4,75,Volg Hüttwilen,ChIJO9TL6k-OmkcRRPH2uNwXUEo,,0630,0630,0630,0630,0630,0630,,1900,1900,1900,1900,1900,1700
"Versamerstrasse 15, 7402 Bonaduz, Switzerland",Versamerstrasse 15,7402,Bonaduz,Graubünden,Switzerland,46.8120074,9.397805599999998,4.2,117,Volg,ChIJnUlNwZnDhEcR7A4RTqJUSeQ,,0600,0600,0600,0600,0600,0600,,2100,2100,2100,2100,2100,2100
"Waldhaus CH, Rudi Dadens 8, 7018 Flims, Switzerland",Waldhaus CH,7018,Flims,Graubünden,Switzerland,46.8261147,9.289168399999998,4.4,124,Volg,ChIJq6qqqmXchEcRH1fbx96IIRk,,0700,0700,0700,0700,0700,0800,,1900,1900,1900,1900,1900,1800
"Quadergasse 6, 7204 Untervaz, Switzerland",Quadergasse 6,7204,Untervaz,Graubünden,Switzerland,46.9279594,9.535879099999999,4.6,82,Volg,ChIJx16VIU7IhEcRzsTJaO7ueQY,,0600,0600,0600,0600,0600,0600,,2000,2000,2000,2000,2000,2000
"Via Principala 59, 7166 Trun, Switzerland",Via Principala 59,7166,Trun,Graubünden,Switzerland,46.7423435,8.987353599999997,4.5,67,Volg Truns,ChIJC0148AIZhUcRfvGwuckq4ho,,0700,0700,0700,0700,0700,0700,,1830,1830,1830,1830,1830,1600
"Voa Sporz 12, 7078 Lenzerheide, Switzerland",Voa Sporz 12,7078,Lenzerheide,Graubünden,Switzerland,46.72838969999999,9.553487799999997,4.2,238,Volg,ChIJVVVVVWWVhEcRzdwyr3fXRKI,0700,0700,0700,0700,0700,0700,0700,1800,1900,1900,1900,1900,1900,1900
"Dorfstrasse 42, 7220 Schiers, Switzerland",Dorfstrasse 42,7220,Schiers,Graubünden,Switzerland,46.96962300000001,9.6876283,4.1,36,Volg,ChIJ1X_G0vmzhEcRMKnpfWFgEKw,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1700
"Via Dual Sut 1, 7153 Falera, Switzerland",Via Dual Sut 1,7153,Falera,Graubünden,Switzerland,46.80110060000001,9.2303379,4.6,67,Volg,ChIJoWrSxH3ehEcRFrbaXK9ZbF0,,0700,0700,0700,0700,0700,0700,,1830,1830,1830,1830,1830,1700
"Untergasse 2, 7206 Igis, Switzerland",Untergasse 2,7206,Igis,Graubünden,Switzerland,46.9460861,9.5741563,4.5,84,Volg,ChIJ3c5cz97JhEcRwFqvNn1rmXY,,0600,0600,0600,0600,0600,0700,,2100,2100,2100,2100,2100,2100
"Via Murschetg 41b 7032, 2 Laax, Switzerland",Via Murschetg 41b 7032,7032,Laax,Graubünden,Switzerland,46.82000699999999,9.264009599999998,4.4,48,Volg,ChIJgebMhRXchEcRWMbtem_ans8,0700,0700,0700,0700,0700,0700,0700,1900,1900,1900,1900,1900,1900,1900
"Stradung 9, 7460 Savognin, Switzerland",Stradung 9,7460,Savognin,Graubünden,Switzerland,46.5977982,9.5967601,4.3,172,Volg Son Mitgel Savognin,ChIJD1uExbeRhEcRin66oOENC1E,,0700,0700,0700,0700,0700,0700,,1830,1830,1830,1830,1830,1800
"Affeier 27a, 7134 Obersaxen, Switzerland",Affeier 27a,7134,Obersaxen,Graubünden,Switzerland,46.75678249999999,9.120891600000002,4.2,82,Volg,ChIJS-QZOOEfhUcRl9AQCRH7oHo,,0730,0730,0730,0730,0730,0730,,1830,1830,1830,1830,1830,1830
"Landstrass 23, 7214 Grüsch, Switzerland",Landstrass 23,7214,Grüsch,Graubünden,Switzerland,46.9816087,9.6482684,4.3,97,Volg,ChIJi80CAdK1hEcRZS3-7IS6oSI,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1900
"Dorfpl. 4, 7208 Malans, Switzerland",Dorfpl. 4,7208,Malans,Graubünden,Switzerland,46.98199109999999,9.576270400000002,4.5,55,Volg,ChIJIfkjSxDKhEcRePIMsdtelck,,0600,0600,0600,0600,0600,0700,,2000,2000,2000,2000,2000,1830
"Via Principala 56, 7031 Laax, Switzerland",Via Principala 56,7031,Laax,Graubünden,Switzerland,46.8056078,9.2572307,4.3,248,Volg Laax,ChIJ6aPRATTchEcRxQcw69acRI0,0730,0700,0700,0700,0700,0700,0700,1700,1830,1830,1830,1830,1830,1700
"Stradun 197, 7550 Scuol, Switzerland",Stradun 197,7550,Scuol,Graubünden,Switzerland,46.79831109999999,10.3021045,4.4,84,Volg Detailhandels AG,ChIJ2ZgjVYVHg0cR7jTZWBI1jTo,0700,0700,0700,0700,0700,0700,0700,1800,1900,1900,1900,1900,1900,1900
"Gira 34, 7404 Feldis/Veulden, Switzerland",Gira 34,7404,Feldis/Veulden,Graubünden,Switzerland,46.7948512,9.4340169,4.7,38,Volg,ChIJiUFzxHzBhEcRohH_16ZEvZk,,1500,1500,1500,1500,1500,0800,,1800,1800,1800,1800,1800,1700
"Valéstrasse 140b, 7132 Vals, Switzerland",Valéstrasse 140b,7132,Vals,Graubünden,Switzerland,46.6169281,9.1799192,4.2,80,Volg,ChIJBw1A8KrkhEcRZnlvSgmnzUU,0730,0730,0730,0730,0730,0730,0730,1700,1900,1900,1900,1900,1900,1700
"Veia Curvanera 3, 7460 Surses, Switzerland",Veia Curvanera 3,7460,Surses,Graubünden,Switzerland,46.59497859999999,9.595046700000001,4.4,21,Volg Savognin,ChIJd48RXsiRhEcRPljclxVlkF8,,1400,1400,1400,1400,1400,0730,,1830,1830,1830,1830,1830,1700
"Via Lucmagn 6, 7180 Disentis/Mustér, Switzerland",Via Lucmagn 6,7180,Disentis/Mustér,Graubünden,Switzerland,46.7052841,8.853551299999998,4.4,101,Volg Disentis/Mustér,ChIJyUwHZToRhUcR5kobZNf0_HM,0800,0600,0600,0600,0600,0600,0600,1800,2000,2000,2000,2000,2000,2000
"Prà Manan 82a, 7545, 7545 Guarda, Switzerland",Prà Manan 82a,7545,Guarda,Graubünden,Switzerland,46.77545119999999,10.151675,4.7,32,Volg Guarda,ChIJH9M9Ko9Eg0cRApFYWBqZ-Ok,,1430,1430,0730,1430,1430,1430,,1830,1830,1230,1830,1830,1700
"Rüeggisingerstrasse 88, 6032 Emmen, Switzerland",Rüeggisingerstrasse 88,6032,Emmen,Luzern,Switzerland,47.0836406,8.286865700000002,4.3,67,Volg-supermarkt Emmen,ChIJWyjbhb38j0cRyxMpLb1SOjE,,0600,0600,0600,0600,0600,0700,,1830,1830,1830,1830,1830,1700
"Alte G. 6, 6373 Ennetbürgen, Switzerland",Alte G. 6,6373,Ennetbürgen,Nidwalden,Switzerland,46.986166,8.4139431,4.4,137,Volg,ChIJZ_DU0Rz4j0cRbzjufL35sz4,0800,0600,0600,0600,0600,0600,0600,1800,2000,2000,2000,2000,2000,2000
"Hauptstrasse 43, 6045 Meggen, Switzerland",Hauptstrasse 43,6045,Meggen,Luzern,Switzerland,47.047111,8.3759427,4.3,69,Volg,ChIJTUofVj75j0cR7SOHupyq5Qk,0800,0600,0600,0600,0600,0600,0730,1800,2000,2000,2000,2000,2000,1800
"Rigistrasse 9, 6353 Weggis, Switzerland",Rigistrasse 9,6353,Weggis,Luzern,Switzerland,47.03322110000001,8.435545399999999,4.3,155,Volg,ChIJAeWiY5z4j0cRKSNBKaATwLo,0800,0630,0630,0630,0630,0630,0630,1800,2000,2000,2000,2000,2000,1800
"Dorfpl. 15, 6362 Stansstad, Switzerland",Dorfpl. 15,6362,Stansstad,Nidwalden,Switzerland,46.9795419,8.3379852,4.5,133,Volg Stansstad,ChIJPUQ8LVD3j0cRbBmqUo9dl9E,0800,0630,0630,0630,0630,0630,0630,1800,2000,2000,2000,2000,2000,2000
"Hauptstrasse 35, 6034 Inwil, Switzerland",Hauptstrasse 35,6034,Inwil,Luzern,Switzerland,47.12254469999999,8.3509545,4.2,53,Volg Inwil,ChIJn5IOCsH9j0cRNvdxi9t9yRw,,0630,0630,0630,0630,0630,0730,,1900,1900,1900,1900,1900,1700
"Dorfstrasse 3, 6044 Udligenswil, Switzerland",Dorfstrasse 3,6044,Udligenswil,Luzern,Switzerland,47.0900765,8.4005304,4.5,44,Volg Udligenswil mit Postagentur,ChIJHxvZ_OT-j0cRZ9f61bql-d0,,0600,0600,0600,0600,0600,0600,,1900,1900,1900,1900,1900,1700
"Kantonsstrasse 5, 6105 Schachen, Switzerland",Kantonsstrasse 5,6105,Schachen,Luzern,Switzerland,47.0361245,8.146069899999999,4.7,28,Volg,ChIJ09K1tTHnj0cRECd9lWkeWn8,,0600,0600,0600,0600,0600,0600,,1900,1900,1900,1900,1900,1700
"Weitblick 8a, 6038 Gisikon, Switzerland",Weitblick 8a,6038,Gisikon,Luzern,Switzerland,47.1258951,8.398774999999999,4.4,36,Volg,ChIJC2QHfT7-j0cRsfXFyOodijE,,0600,0600,0600,0600,0600,0600,,1900,1900,1900,1900,1900,1700
"Seestrasse 73, 6354 Vitznau, Switzerland",Seestrasse 73,6354,Vitznau,Luzern,Switzerland,47.009256,8.483533200000002,4.3,96,Volg,ChIJM8PAuwdXhUcRkymvTODNTtg,0800,0600,0600,0600,0600,0600,0700,1830,2000,2000,2000,2000,2000,1830
"Postpl., 6274 Eschenbach, Switzerland",Postpl.,6274,Eschenbach,Luzern,Switzerland,47.13243680000001,8.319305700000001,4.5,47,Volg Eschenbach,ChIJlb6LVXH9j0cRVGi1ofOaxR0,,0630,0630,0630,0630,0630,0730,,1830,1830,1830,1830,1830,1600
"Luzernerstrasse 17a, 6024 Hildisrieden, Switzerland",Luzernerstrasse 17a,6024,Hildisrieden,Luzern,Switzerland,47.14923539999999,8.229491999999999,4.6,38,Volg,ChIJxwekvH7ij0cRi3Lc7fZe1zY,,0630,0630,0630,0630,0630,0700,,1900,1900,1900,1900,1900,1700
"Lindachstrasse 24, 3038 Kirchlindach, Switzerland",Lindachstrasse 24,3038,Kirchlindach,Bern,Switzerland,46.999951,7.415911,4.4,41,Volg,ChIJN5tjq3c7jkcRPTSqgUm3ll4,0600,0600,0600,0600,0600,0600,0600,2000,2000,2000,2000,2000,2000,2000
"Sägetstrasse 20, 3123 Belp, Switzerland",Sägetstrasse 20,3123,Belp,Bern,Switzerland,46.8870992,7.4999995,4.3,86,Volg Belp,ChIJ5XneXdRJjkcR8u9K56NvZOw,,0600,0600,0600,0600,0600,0700,,1900,1900,1900,1900,1900,1700
"Thunstrasse 11, 3113 Rubigen, Switzerland",Thunstrasse 11,3113,Rubigen,Bern,Switzerland,46.8980904,7.544502700000001,4.5,13,Volg,ChIJL8HyGCI3jkcRoYFRx88JjHk,,0600,0600,0600,0600,0600,0700,,2000,2000,2000,2000,2000,1700
"Länggasse 17, 3326 Krauchthal, Switzerland",Länggasse 17,3326,Krauchthal,Bern,Switzerland,47.00814140000001,7.565605600000002,4.4,101,Volg,ChIJKadeYIMxjkcRG-U2Hpm9TOE,,0600,0600,0600,0600,0600,0700,,2000,2000,2000,2000,2000,1700
"Brünnmatt 2, 3045 Meikirch, Switzerland",Brünnmatt 2,3045,Meikirch,Bern,Switzerland,47.0088806,7.363902099999999,4.4,61,Volg,ChIJL-YjfV08jkcRjRmA9__8iBw,,0600,0600,0600,0600,0600,0700,,1900,1900,1900,1900,1900,1700
"Dorfstrasse 50, 3184 Wünnewil-Flamatt, Switzerland",Dorfstrasse 50,3184,Wünnewil-Flamatt,Fribourg,Switzerland,46.87415,7.272214199999998,4.5,58,Volg,ChIJmZu3STBAjkcRaE-F8v8bhEs,,0600,0600,0600,0600,0600,0600,,1900,1900,1900,1900,1900,1600
"Oberbalmstrasse 216, 3096 Oberbalm, Switzerland",Oberbalmstrasse 216,3096,Oberbalm,Bern,Switzerland,46.8734196,7.4021132,4.6,22,Volg,ChIJf4sl2KBHjkcRSlEgCwmGx9Q,0800,0630,0630,0630,0630,0630,0700,1200,1900,1900,1900,1900,1900,1700
"Bernstrasse 63, 3267 Seedorf, Switzerland",Bernstrasse 63,3267,Seedorf,Bern,Switzerland,47.0350571,7.3130436,4.6,38,Volg Seedorf BE,ChIJJ1BH1zs9jkcROBx62omq8rw,,0600,0600,0600,0600,0600,0700,,2000,2000,2000,2000,2000,1700
"Murtenstrasse 30, 3203 Mühleberg, Switzerland",Murtenstrasse 30,3203,Mühleberg,Bern,Switzerland,46.9523336,7.258361099999999,4.3,92,Volg Mühleberg,ChIJo6eMA5kVjkcR7UOd0QUvsUg,,0630,0630,0630,0630,0630,0630,,1900,1900,1900,1900,1900,1700
"Bernstrasse 115, 3148 Lanzenhäusern, Switzerland",Bernstrasse 115,3148,Lanzenhäusern,Bern,Switzerland,46.8412044,7.347223300000001,4.5,77,Volg Lanzenhäusern,ChIJjUKhnrVGjkcRN1bgMCWoHYs,0800,0630,0630,0630,0630,0630,0700,1200,2000,2000,2000,2000,2000,1600
"Rue des Grands-Proz 2B, 1957 Ardon, Switzerland",Rue des Grands-Proz 2B,1957,Ardon,Valais,Switzerland,46.21012879999999,7.257754299999999,4.2,61,Volg,ChIJCbvzeffDjkcRfjlRC8SkYhg,,0600,0600,0600,0600,0600,0600,,1830,1830,1830,1830,1830,1700
"Chem. du Midi 2, 1913 Saillon, Switzerland",Chem. du Midi 2,1913,Saillon,Valais,Switzerland,46.1713982,7.187226300000001,4.1,81,Volg,ChIJuTx7NMzFjkcRHFv8tc2Zd3Q,,0600,0600,0600,0600,0600,0600,,1830,1830,1830,1830,1830,1700
"Rte de Sion 9, 1981 Vex, Switzerland",Rte de Sion 9,1981,Vex,Valais,Switzerland,46.2125776,7.397846999999999,4.6,93,Magasin Volg,ChIJjdBnUcTejkcRbBLECy_A9ZI,0700,0700,0700,0700,0700,0700,0700,1900,1900,1900,1900,1900,1900,1900
"Pl. Centrale 3, 1902 Evionnaz, Switzerland",Pl. Centrale 3,1902,Evionnaz,Valais,Switzerland,46.17793269999999,7.023940099999999,4.4,45,Volg,ChIJtxGarqW5jkcRje8p1xnp2qQ,,1400,1400,1400,1400,1400,0700,,1830,1830,1830,1830,1830,1700
"Av. Saint-François 6, 3968 Veyras, Switzerland",Av. Saint-François 6,3968,Veyras,Valais,Switzerland,46.3041153,7.5374451,4.3,64,Volg,ChIJWXBP_gIfj0cRscG63tLjq5w,,0600,0600,0600,0600,0600,0600,,1830,1830,1830,1830,1830,1700
"Rue du center Village 14, 1993 Veysonnaz, Switzerland",Rue du center Village 14,1993,Veysonnaz,Valais,Switzerland,46.1960217,7.336864099999999,4.4,97,Volg,ChIJY878CI3bjkcRU9tc-mFwTBU,0700,0700,0700,0700,0700,0700,0700,1900,1900,1900,1900,1900,1900,1900
"Bahnhofstrasse 6, 3942 Raron, Switzerland",Bahnhofstrasse 6,3942,Raron,Valais,Switzerland,46.30429280000001,7.801462399999999,3.6,54,Volg,ChIJ3WZdn14Uj0cR__IoBtMNGcA,,0600,0600,0600,0600,0600,0600,,1830,1830,1830,1830,1830,1700
"Rte des Brêches 5, 1893 Muraz (Collombey), Switzerland",Rte des Brêches 5,1893,Muraz,Valais,Switzerland,46.278553,6.928732399999999,4.1,91,Supermarché Volg,ChIJw94zwDK9jkcRFXbDr3K2M_I,,0600,0600,0600,0600,0600,0600,,1830,1830,1830,1830,1830,1700
"Nufenenstrasse 11, 3988 Ulrichen, Switzerland",Nufenenstrasse 11,3988,Ulrichen,Valais,Switzerland,46.5058556,8.3093824,4.4,180,"VOLG Ulrichen, post office",ChIJuXX2TJiBhUcR5oNsATtDSiw,0700,0700,0700,0700,0700,0700,0700,1900,1900,1900,1900,1900,1900,1900
"Dorfstrasse 14, 3946 Turtmann, Switzerland",Dorfstrasse 14,3946,Turtmann,Valais,Switzerland,46.3008308,7.703137399999998,4.5,23,Volg,ChIJsYeHPP0Xj0cRrVoHWctoGmA,,0700,0700,0700,0700,0700,0700,,1830,1830,1830,1830,1830,1700
"Rue du Châtelard 24, 1937 Orsières, Switzerland",Rue du Châtelard 24,1937,Orsières,Valais,Switzerland,46.0281563,7.144199899999999,4.4,57,Volg Orsières,ChIJhdSOFHzMjkcRX9g1d0dQSP8,0700,0600,0600,0600,0600,0600,0600,1700,1830,1830,1830,1830,1830,1700
"Rte de Nendaz 345, 1996 Nendaz, Switzerland",Rte de Nendaz 345,1996,Nendaz,Valais,Switzerland,46.1887131,7.313549,4.7,26,Volg,ChIJEaNDxc3bjkcR2MHmgrV_ZqI,,0600,0600,0600,0600,0600,0600,,1830,1830,1830,1830,1830,1700
"Furkastrasse 452, 3998 Reckingen, Switzerland",Furkastrasse 452,3998,Reckingen,Valais,Switzerland,46.4691887,8.2418938,4.2,162,VOLG Reckingen-Gluringen,ChIJi2KHimR-j0cRib_1Hv7Ma3M,0600,0600,0600,0600,0600,0600,0600,1900,1900,1900,1900,1900,1900,1900
"Dorfstrasse 11, 3951 Agarn, Switzerland",Dorfstrasse 11,3951,Agarn,Valais,Switzerland,46.2966461,7.664364300000002,5.0,4,Volg,ChIJawfAgxMZj0cRGP6QJeTRh-Y,,0600,0600,0600,0600,0600,0600,,1830,1830,1830,1830,1830,1700
"Route de la Fusion 10, 3961 Vissoie, Switzerland",Route de la Fusion 10,3961,Vissoie,Valais,Switzerland,46.2166355,7.585673299999999,4.0,70,Volg,ChIJyZRMCLAjj0cRsW6uRIghr7g,0700,0700,0700,0700,0700,0700,0700,1900,1900,1900,1900,1900,1900,1900
"Rte de Nendaz 860, 1997 Nendaz, Switzerland",Rte de Nendaz 860,1997,Nendaz,Valais,Switzerland,46.1869081,7.297446799999999,4.4,24,Volg,ChIJP1R4ZpvbjkcRXBwHRvjvPH8,0700,0600,0600,0600,0600,0600,0700,1900,1900,1900,1900,1900,1900,1900
"Bellwalderstrasse 473, 3997 Bellwald, Switzerland",Bellwalderstrasse 473,3997,Bellwald,Valais,Switzerland,46.4234217,8.159539299999999,4.3,142,VOLG Bellwald,ChIJ47tbD4R7j0cRkk4qW8s0J-Y,0730,0730,0730,0730,0730,0730,0730,1900,1900,1900,1900,1900,1900,1900
"Furkastrasse 46, 3994 Lax, Switzerland",Furkastrasse 46,3994,Lax,Valais,Switzerland,46.3875237,8.117182699999999,4.6,37,Volg,ChIJo3Zy2G57j0cRUes-uNFcq2Y,0700,0600,0600,0600,0600,0600,0700,1900,1900,1900,1900,1900,1900,1900
"Hauptstrasse 101, 3992 Bettmeralp, Switzerland",Hauptstrasse 101,3992,Bettmeralp,Valais,Switzerland,46.3900686,8.0619096,4.3,107,Volg Bettmeralp,ChIJGRofwgBwj0cRgZbNTSRjffY,0700,0700,0700,0700,0700,0700,0700,1830,1830,1830,1830,1830,1830,1830
