,Canton,2020,2030,2040,2050,per_change_10y,per_change_20y
0,Switzerland,8688.2,9430.8,10015.4,10440.6,8.547224971800816,15.275891438963177
1,Zurich,1553.6,1729.1,1880.5,2002.8,11.296343975283214,21.04145211122555
2,Bern,1046.3,1104.0,1135.9,1147.0,5.514670744528343,8.563509509700864
3,Lucerne,416.3,452.0,476.9,490.3,8.575546480903192,14.556809992793651
4,Uri,37.0,39.9,41.1,40.8,7.837837837837834,11.081081081081084
5,Schwyz,162.6,179.7,190.7,196.1,10.516605166051656,17.281672816728165
6,Obwalden,38.4,41.0,42.9,44.0,6.7708333333333375,11.71875
7,Nidwalden,43.9,46.9,48.3,48.7,6.83371298405467,10.02277904328018
8,Glarus,40.7,42.6,43.4,42.9,4.668304668304665,6.633906633906624
9,Zug,130.2,146.9,159.8,169.2,12.826420890937035,22.734254992319528
10,Fribourg,325.2,353.6,374.2,389.8,8.73308733087332,15.067650676506766
11,Solothurn,278.3,306.2,325.6,336.6,10.02515271289974,16.996047430830043
12,Basel-Stadt,196.6,207.8,214.4,215.0,5.696846388606316,9.053916581892173
13,Basel-Landsch.,291.3,306.1,314.8,318.2,5.080672845863375,8.06728458633711
14,Schaffhausen,83.6,91.9,99.5,106.4,9.928229665071784,19.01913875598087
15,App. A. Rh.,55.7,58.5,60.9,62.9,5.026929982046673,9.335727109515252
16,App. I. Rh.,16.3,17.4,18.5,19.7,6.748466257668698,13.496932515337418
17,St. Gallen,516.7,562.0,605.2,647.4,8.76717631120572,17.127927230501257
18,Graubünden,198.9,200.5,197.4,190.7,0.8044243338360957,-0.7541478129713424
19,Aargau,695.3,781.6,851.7,905.2,12.411908528692662,22.49388753056236
20,Thurgau,282.9,313.9,336.2,350.5,10.957935666313185,18.840579710144933
21,Ticino,353.3,352.6,346.5,335.2,-0.19813189923577373,-1.924709878290408
22,Vaud,815.6,906.7,989.2,1057.8,11.169691025012263,21.284943599803828
23,Valais,349.2,373.7,390.2,400.1,7.016036655211913,11.741122565864833
24,Neuchâtel,177.3,180.1,181.7,181.2,1.579244218838118,2.481669486745616
25,Geneva,509.1,559.6,611.9,663.8,9.91946572382636,20.192496562561374
26,Jura,73.8,76.5,78.0,78.1,3.658536585365858,5.69105691056911
