canton,2022,denners
Vaud,"830,431 ",40
Valais,"357,282 ",21
Geneva,"514,114 ",
Bern,"1,051,437 ",21
Fribourg,"334,465 ",8
Solothurn,"282,408 ",3
Neuchâtel,"176,571 ",5
Jura,"73,865 ",4
Basel-Stadt,"196,786 ",18
Basel-Landschaft,"294,417 ",1
Aargau,"711,232 ",18
Zürich,"1,579,967 ",58
Glarus,"41,471 ",
Schaffhausen,"85,214 ",6
Appenzell Ausserrhoden,"55,759 ",
Appenzell Innerrhoden,"16,416 ",
St. Gallen,"525,967 ",1
Graubünden,"202,538 ",20
Thurgau,"289,650 ",10
Luzern,"424,851 ",19
Uri,"37,317 ",3
Schwyz,"164,920 ",
Obwalden,"38,700 ",3
Nidwalden,"44,420 ",4
Zug,"131,164 ",4
Ticino,"354,023 ",20
