
,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Schweiz,8688215,8761372,8835055,8909158,8983636,9058337,9133068,9207787,9282395,9356906,9430802,9501974,9570326,9635883,9698634,9758502,9815503,9869668,9921023,9969581,10015412,10060549,10105091,10149020,10192430,10235269,10277529,10319243,10360335,10400834,10440621
Zürich,1553584,1570275,1587168,1604278,1621573,1639077,1656748,1674596,1692620,1710821,1729056,1746760,1763921,1780531,1796572,1812042,1826912,1841210,1854888,1867978,1880458,1892884,1905275,1917634,1929944,1942214,1954449,1966646,1978780,1990837,2002803
Bern,1046310,1052137,1058007,1063898,1069796,1075685,1081509,1087275,1092948,1098521,1103969,1109010,1113622,1117807,1121586,1124956,1127908,1130469,1132646,1134453,1135906,1137264,1138559,1139794,1140989,1142126,1143218,1144253,1145240,1146174,1147035
Luzern,416334,419818,423355,426915,430500,434102,437707,441303,444892,448472,452002,455359,458523,461498,464283,466880,469274,471466,473469,475284,476902,478468,479994,481454,482864,484224,485543,486805,488022,489187,490320
Uri,37010,37303,37603,37902,38207,38509,38808,39096,39385,39668,39942,40184,40401,40585,40741,40865,40963,41034,41079,41088,41073,41057,41030,41002,40974,40942,40910,40875,40840,40808,40773
Schwyz,162637,164373,166115,167845,169568,171276,172979,174678,176365,178031,179674,181222,182666,184012,185261,186409,187468,188425,189290,190057,190717,191349,191969,192567,193135,193684,194205,194710,195182,195629,196054
Obwalden,38371,38641,38915,39190,39464,39731,39994,40262,40523,40777,41019,41254,41476,41687,41888,42075,42256,42420,42577,42732,42873,43010,43143,43267,43384,43504,43620,43732,43837,43939,44040
Nidwalden,43862,44186,44508,44827,45145,45447,45746,46040,46331,46610,46874,47114,47333,47526,47696,47847,47977,48093,48189,48265,48330,48391,48441,48487,48526,48564,48604,48634,48661,48686,48709
Glarus,40739,40912,41100,41289,41477,41673,41869,42060,42253,42444,42636,42812,42967,43103,43209,43300,43369,43414,43431,43425,43396,43365,43326,43289,43237,43189,43139,43090,43037,42989,42936
Zug,130235,131935,133632,135318,137007,138686,140359,142010,143647,145285,146899,148452,149946,151376,152755,154068,155330,156521,157661,158742,159767,160778,161778,162761,163733,164691,165630,166558,167464,168361,169238
Freiburg,325164,328327,331427,334467,337454,340367,343194,345926,348560,351106,353590,355983,358304,360551,362724,364820,366837,368787,370665,372474,374225,375941,377611,379241,380848,382422,383959,385477,386960,388408,389830
Solothurn,278325,281001,283729,286490,289275,292071,294896,297728,300560,303397,306208,308869,311364,313711,315901,317914,319773,321467,323016,324402,325634,326840,328016,329174,330314,331431,332525,333597,334641,335656,336636
Basel-Stadt,196622,197619,198653,199720,200812,201929,203076,204241,205430,206633,207845,208968,210000,210935,211762,212480,213091,213591,213971,214243,214400,214540,214657,214749,214834,214899,214953,214993,215018,215027,215032
Basel-Landschaft,291277,292848,294392,295927,297445,298944,300415,301871,303299,304711,306101,307388,308574,309685,310693,311612,312433,313167,313803,314355,314804,315221,315620,315997,316365,316707,317035,317342,317634,317910,318167
Schaffhausen,83560,84369,85181,86007,86831,87673,88505,89350,90188,91024,91856,92684,93496,94292,95078,95857,96616,97362,98098,98822,99532,100237,100943,101635,102339,103027,103716,104390,105063,105733,106385
Appenzell A.Rh.,55736,56010,56286,56566,56860,57148,57431,57709,57985,58262,58530,58797,59054,59304,59542,59776,60010,60231,60454,60667,60876,61082,61282,61479,61670,61865,62058,62249,62450,62649,62851
Appenzell I.Rh.,16343,16450,16557,16666,16776,16888,16998,17105,17213,17323,17424,17530,17638,17752,17859,17972,18083,18194,18310,18423,18544,18663,18781,18894,19013,19128,19246,19363,19476,19586,19696
St. Gallen,516722,521286,525861,530444,535038,539609,544168,548680,553159,557595,561953,566315,570662,574993,579322,583635,587942,592246,596568,600891,605226,609541,613836,618109,622368,626596,630786,634973,639132,643268,647374
Graubünden,198899,199168,199413,199644,199856,200045,200209,200324,200415,200458,200468,200409,200294,200116,199888,199591,199248,198846,198396,197898,197367,196806,196217,195603,194957,194294,193615,192913,192199,191463,190721
Aargau,695331,703953,712603,721267,729937,738604,747265,755911,764524,773120,781640,789890,797859,805561,812982,820119,826986,833580,839899,845934,851711,857407,863030,868572,874046,879442,884756,889997,895160,900253,905247
