,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Schweiz,8717536,8806623,8897327,8989547,9083231,9178304,9274742,9372488,9471460,9571707,9672213,9770953,9867836,9962772,10055834,10146930,10236048,10323156,10408280,10491456,10572632,10653896,10735220,10816609,10898144,10979651,11061193,11142621,11223935,11304931,11385661
Zürich,1558710,1578309,1598401,1618968,1640040,1661605,1683687,1706283,1729395,1753045,1776947,1800435,1823498,1846117,1868294,1889988,1911199,1931897,1952101,1971791,1990947,2010220,2029626,2049136,2068779,2088522,2108359,2128269,2148224,2168192,2188167
Bern,1048190,1055044,1062030,1069126,1076318,1083590,1090916,1098272,1105670,1113078,1120446,1127551,1134374,1140906,1147161,1153147,1158849,1164275,1169447,1174382,1179073,1183753,1188439,1193134,1197842,1202536,1207235,1211926,1216606,1221257,1225889
Luzern,417630,421820,426114,430496,434958,439501,444116,448786,453528,458317,463109,467743,472211,476513,480644,484594,488362,491957,495376,498614,501684,504735,507755,510752,513734,516683,519611,522503,525361,528185,530985
Uri,37204,37600,37998,38399,38804,39210,39620,40027,40422,40813,41196,41549,41880,42194,42468,42718,42937,43130,43300,43442,43557,43666,43772,43876,43975,44070,44164,44262,44356,44455,44552
Schwyz,163170,165199,167243,169318,171407,173498,175603,177717,179842,181968,184084,186116,188068,189933,191716,193409,195013,196522,197946,199304,200567,201816,203053,204265,205464,206641,207801,208938,210056,211150,212228
Obwalden,38593,38977,39364,39763,40166,40573,40983,41390,41809,42231,42646,43045,43427,43800,44160,44500,44818,45130,45433,45718,45994,46263,46523,46777,47031,47285,47531,47782,48026,48269,48513
Nidwalden,44091,44536,44990,45448,45907,46366,46826,47279,47727,48178,48613,49026,49411,49767,50098,50401,50684,50937,51173,51389,51581,51767,51951,52127,52306,52481,52653,52819,52983,53147,53308
Glarus,40990,41294,41612,41930,42263,42599,42943,43296,43655,44022,44383,44722,45037,45325,45592,45828,46044,46232,46401,46541,46654,46754,46850,46941,47030,47121,47211,47302,47394,47482,47574
Zug,130862,132902,134949,137014,139092,141179,143264,145370,147481,149602,151712,153770,155778,157746,159663,161533,163351,165122,166851,168531,170167,171803,173429,175047,176657,178256,179853,181437,183019,184585,186143
Freiburg,326482,330264,333979,337616,341177,344650,348034,351327,354512,357597,360641,363640,366600,369518,372397,375233,378033,380802,383529,386223,388891,391543,394188,396814,399429,402028,404612,407190,409759,412311,414847
Solothurn,279301,282518,285817,289197,292644,296150,299727,303373,307073,310828,314588,318221,321745,325131,328384,331511,334508,337374,340111,342725,345206,347677,350144,352610,355068,357526,359977,362413,364844,367254,369639
Basel-Stadt,197161,198447,199786,201160,202594,204067,205592,207159,208762,210434,212128,213736,215270,216724,218101,219381,220580,221690,222704,223614,224423,225229,226034,226843,227646,228455,229252,230049,230841,231621,232387
Basel-Landschaft,292033,294019,296011,298024,300048,302085,304133,306207,308296,310407,312499,314514,316443,318271,320023,321694,323270,324750,326131,327420,328610,329789,330958,332124,333279,334416,335550,336672,337789,338890,339972
Schaffhausen,83919,84914,85951,87008,88088,89185,90302,91435,92585,93758,94945,96120,97289,98454,99615,100764,101903,103040,104180,105312,106437,107564,108685,109813,110941,112060,113184,114291,115410,116520,117629
Appenzell A.Rh.,55955,56325,56704,57089,57468,57852,58230,58614,58988,59357,59728,60093,60453,60806,61149,61490,61826,62159,62488,62815,63143,63474,63802,64132,64466,64793,65125,65456,65790,66131,66473
Appenzell I.Rh.,16474,16638,16806,16973,17139,17310,17479,17649,17815,17979,18138,18298,18455,18622,18787,18950,19116,19286,19457,19627,19797,19973,20146,20320,20492,20664,20840,21015,21189,21359,21528
St. Gallen,518116,523452,528847,534323,539846,545418,551036,556681,562363,568069,573768,579582,585491,591501,597633,603873,610230,616715,623320,630062,636948,643863,650792,657749,664732,671736,678765,685800,692849,699898,706951
Graubünden,199829,200590,201351,202123,202873,203630,204361,205082,205778,206464,207131,207746,208305,208796,209234,209617,209945,210223,210444,210618,210746,210850,210938,211010,211057,211101,211120,211120,211108,211068,211023
Aargau,697912,707942,718091,728339,738679,749123,759674,770321,781050,791870,802691,813384,823940,834366,844651,854810,864841,874713,884455,894063,903540,913004,922454,931888,941302,950702,960081,969433,978743,988008,997231
Thurgau,283384,286882,290403,293929,297471,301010,304545,308074,311591,315079,318525,321900,325195,328405,331539,334596,337578,340487,343325,346083,348767,351429,354066,356666,359247,361793,364317,366812,369283,371719,374132
Tessin,354639,355339,356074,356848,357665,358543,359469,360452,361483,362575,363664,364660,365551,366324,366997,367558,368015,368357,368587,368716,368715,368712,368698,368676,368645,368583,368500,368385,368238,368048,367806
Waadt,817294,826820,836664,846811,857274,868057,879156,890565,902303,914363,926555,938637,950618,962474,974211,985828,997304,1008642,1019827,1030864,1041742,1052696,1063707,1074761,1085888,1097069,1108300,1119559,1130849,1142146,1153446
Wallis,350250,353433,356633,359845,363077,366315,369564,372825,376079,379349,382598,385766,388839,391824,394732,397559,400301,402966,405541,408041,410470,412884,415286,417674,420058,422417,424757,427081,429383,431656,433907
Neuenburg,178788,179807,180843,181910,182994,184087,185204,186336,187480,188640,189811,190982,192134,193284,194417,195534,196630,197706,198763,199789,200787,201778,202762,203746,204716,205683,206638,207586,208531,209466,210380
Genf,512452,519053,525752,532535,539415,546388,553459,560624,567885,575241,582674,590207,597825,605519,613294,621154,629089,637096,645161,653294,661493,669746,678057,686429,694869,703353,711893,720472,729074,737702,746351
Jura,74107,74499,74914,75355,75824,76313,76819,77344,77888,78443,78993,79510,79999,80452,80874,81260,81622,81948,82229,82478,82693,82908,83105,83299,83491,83677,83864,84049,84230,84412,84600
